distance_m,x_m,y_m,height_m
92.920902,31.705000,31.705000,0.000582528
93.041110,31.790000,31.790000,0.041968316
93.161318,31.875000,31.875000,0.085545223
93.281527,31.960000,31.960000,0.128558772
93.401735,32.045000,32.045000,0.168906235
93.521943,32.130000,32.130000,0.204987377
93.642151,32.215000,32.215000,0.235642091
93.762359,32.300000,32.300000,0.260121926
93.882567,32.385000,32.385000,0.278058819
94.002775,32.470000,32.470000,0.289431092
94.122984,32.555000,32.555000,0.294526829
94.243192,32.640000,32.640000,0.295154371
94.363400,32.725000,32.725000,0.295155339
94.483608,32.810000,32.810000,0.295155339
94.603816,32.895000,32.895000,0.295155339
94.724024,32.980000,32.980000,0.295155339
94.844233,33.065000,33.065000,0.295155339
94.964441,33.150000,33.150000,0.295155339
95.084649,33.235000,33.235000,0.295155339
95.204857,33.320000,33.320000,0.295155339
95.325065,33.405000,33.405000,0.295155339
95.445273,33.490000,33.490000,0.295155339
95.565481,33.575000,33.575000,0.295155339
95.685690,33.660000,33.660000,0.295155339
95.805898,33.745000,33.745000,0.295155339
95.926106,33.830000,33.830000,0.295155339
96.046314,33.915000,33.915000,0.295155339
96.166522,34.000000,34.000000,0.295102701
