condition_id,training_seed,evaluation_seed,episode_steps,net_forward_progress_m,net_lateral_displacement_m,mean_forward_velocity_m_per_s,direction_error_degrees,forward_path_efficiency,objective_return,no_floor_contact_step_fraction,no_foot_contact_step_fraction,prominent_takeoff_count_vz_ge_1p25,max_root_velocity_z_m_per_s,max_raw_floor_force_norm,p95_raw_floor_force_norm,same_side_pair_contact_fraction,diagonal_pair_contact_fraction,front_pair_simultaneous_contact_fraction,mean_applied_action_change_l2,mean_proposed_action_change_l2,mean_forward_reward,mean_control_reward,mean_contact_reward,mean_orientation_shaping_reward,exploratory_hopping_dominant_flag
Rt0p1_Rvy0__K0,41301,51301,68,2.451830223787645,0.32200279383737734,0.7211265364081308,7.481926592864279,0.6681458417528,89.13080293384628,0.6323529411764706,0.6470588235294118,4,3.5992256621436836,97.0398377223901,47.690052691955024,0.029411764705882353,0.014705882352941176,0.0,0.8013455199925688,0.8013455199925688,0.7211144414679224,-0.3912840696108181,-0.0009683449902384257,-0.0034090425455967975,True
Rt0p1_Rvy0__K0,41302,51301,1000,18.767119442570923,16.751984226962072,0.37534238885141846,41.752871188202846,0.4039763209251942,1024.643844071975,0.564,0.569,24,2.105426620587872,271.25608093095394,52.57959083680757,0.083,0.023,0.019,0.8245844707086495,0.8245844707086495,0.37534237979167656,-0.3481950451580718,-0.001468071609224177,-0.00103541895240548,True
Rt0p1_Rvy0__K0,41303,51301,78,4.831441242921684,-0.8836429777125289,1.2388310879286368,10.364518159004575,0.8299458014822508,133.3877765606159,0.717948717948718,0.7307692307692307,3,3.245854301586761,286.4449701084603,70.6116638423927,0.038461538461538464,0.038461538461538464,0.02564102564102564,1.0114220856946945,1.0114220856946945,1.2388304526365244,-0.5130408199751216,-0.001085171496859516,-0.0017842488489546353,True
Rt0p1_Rvy0p05__K0,41301,51301,1000,2.5040908841226934,-1.079687864153175,0.05008181768245387,23.324236731799317,0.11715457411461179,572.9178118269581,0.204,0.859,2,2.6750367395955035,130.00957548074564,33.9271602425905,0.001,0.006,0.001,0.856925304911162,0.856925304911162,0.05008006907984642,-0.37779257395902743,-0.0014958183585881434,-0.0918155715057414,False
Rt0p1_Rvy0p05__K0,41302,51301,264,9.630880039447847,2.1784158971981427,0.7296121242005944,12.745303933122665,0.6113947587817871,334.293989319414,0.6212121212121212,0.6363636363636364,8,2.0074722811934844,232.61746191190088,52.323592330601244,0.056818181818181816,0.041666666666666664,0.011363636363636364,0.958725114451102,0.958725114451102,0.7296207550588616,-0.4378517483279814,-0.001222111598322295,-0.0012339074814229746,True
Rt0p1_Rvy0p05__K0,41303,51301,491,4.827654513257523,-5.802053641805641,0.19664580502067303,50.23752531964078,0.21037547891643582,397.8747800243248,0.659877800407332,0.6680244399185336,15,2.7836642883254,271.87047019752896,59.54424397448349,0.032586558044806514,0.03054989816700611,0.016293279022403257,0.83713340668024,0.83713340668024,0.19664574831818157,-0.3622300536834119,-0.0010671544196403401,-0.0013511124546393327,True
Rt0p1_Rvy0p1__K0,41301,51301,1000,2.8243220834098053,2.517777759374423,0.05648644166819611,41.71581274671511,0.13640713149836586,598.2761787894581,0.209,0.864,1,1.4039870080270627,271.5411329297588,29.060767252417712,0.001,0.002,0.0,0.811544107567596,0.811544107567596,0.056485649073475634,-0.3544773649905932,-0.0014390399095241184,-0.09276737620145076,False
Rt0p1_Rvy0p1__K0,41302,51301,482,2.576061744120734,1.5249098558341072,0.1068905288016902,30.623577790923246,0.13013730407463486,376.59153597799093,0.6037344398340249,0.6058091286307054,14,1.9208908950282895,237.5957357593567,50.93336882538085,0.06431535269709543,0.02074688796680498,0.01037344398340249,0.7656666457616822,0.7656666457616822,0.1068905317546831,-0.2887753787963472,-0.001293860899544031,-0.0008778548685446601,True
Rt0p1_Rvy0p1__K0,41303,51301,1000,12.763339229342673,-6.521187701147369,0.2552667845868535,27.06390470377494,0.366752801041678,889.6830971254044,0.347,0.78,16,2.3062372632733092,364.5926682488712,37.63722463812112,0.012,0.009,0.005,0.7383150502244012,0.7383150502244012,0.25526674269457295,-0.2807324282180063,-0.0013532058545513222,-0.05949585541677354,True
Rt0p1_Rvy0__K1p1,41301,51301,1000,34.814389781011315,-2.2467774505791884,0.6962877956202262,3.692513218980272,0.7530639176592617,1347.0469287023416,0.529,0.536,15,2.540431494746883,266.9033933098085,51.70148405216148,0.103,0.034,0.009,1.099060573785553,2.9529750808171658,0.6962800806583858,-0.3465159831164083,-0.0016214182810601967,-0.0010957505585754777,True
Rt0p1_Rvy0__K1p1,41302,51301,1000,43.190405306796286,-4.019335319930216,0.8638081061359257,5.316680501038631,0.7383609711369984,1500.9014516647314,0.616,0.627,28,1.9559300773133206,250.2356092783973,64.87998492099015,0.057,0.034,0.007,1.0969242214559602,2.694008652909662,0.863808151027401,-0.3605785119380139,-0.0013097508204935448,-0.0010184366041622425,True
Rt0p1_Rvy0__K1p1,41303,51301,1000,24.38379381682474,-28.39786831304844,0.4876758763364948,49.34900407848377,0.4662949791207274,1148.6512986593275,0.585,0.588,24,2.306975805457869,302.3531323775929,63.963500785523685,0.081,0.043,0.014,1.0996836937281143,2.949515609122174,0.48767527145801526,-0.33661323821616873,-0.001500953639461184,-0.000909780943057704,True
Rt0p1_Rvy0p05__K1p1,41301,51301,1000,54.288429968930096,12.400182653217739,1.085768599378602,12.86637416695356,0.8316861333184222,1653.5279605932783,0.616,0.624,34,2.657121589556198,492.22391587758887,60.8563215909903,0.075,0.027,0.022,1.097031979804853,2.649515533662329,1.0857685889101176,-0.4145127236708363,-0.0013253344479960169,-0.0009702821607450493,True
Rt0p1_Rvy0p05__K1p1,41302,51301,1000,51.58819647939707,2.153848871719942,1.0317639295879415,2.3907565854892088,0.8011698215015199,1611.9534109116862,0.619,0.628,23,2.752500426374628,336.28337704887736,67.00949471033286,0.07,0.028,0.01,1.0972835762640736,2.744469945554641,1.031763454048825,-0.4000417563940773,-0.0013060531515642973,-0.0008845274342838575,True
Rt0p1_Rvy0p05__K1p1,41303,51301,1000,8.224283825518357,-0.02739843198678512,0.16448567651036716,0.19087482193635685,0.4370100746399493,779.8490943494671,0.186,0.811,6,1.8782413275689533,169.49531025619805,22.263361682088878,0.011,0.02,0.003,1.099563346451804,3.0645981267190803,0.16448611380385206,-0.3047735373504732,-0.0014008756196959705,-0.07496253802137795,True
Rt0p1_Rvy0p1__K1p1,41301,51301,1000,37.45580134502063,0.238470340559451,0.7491160269004127,0.36478086043400243,0.7667675761796877,1329.1622630635134,0.468,0.695,25,2.5541671761616636,420.8283193597218,55.745212575027544,0.046,0.025,0.01,1.0981228040463238,2.7007191139829074,0.7491152437347923,-0.36491501991879827,-0.0013936359321621455,-0.031245282546364904,True
Rt0p1_Rvy0p1__K1p1,41302,51301,217,3.2341507807159693,-0.8150773986221866,0.2980784129692137,14.145232897701094,0.4891207539621508,200.29211225103256,0.5207373271889401,0.5299539170506913,3,3.0318835799509842,253.0363025787031,56.73440715433591,0.11981566820276497,0.02304147465437788,0.018433179723502304,1.0980910150095915,3.054562336191274,0.298152089827593,-0.35396749117420234,-0.0016511993477101804,-0.001260809707948787,True
Rt0p1_Rvy0p1__K1p1,41303,51301,1000,19.805075268219607,-0.04550523227285623,0.39610150536439215,0.13164570856746916,0.6717195018168008,1018.2359298056551,0.263,0.766,12,2.210954374584012,262.75090842628646,35.723125665281515,0.029,0.023,0.004,1.0987273593283637,3.1729354275314465,0.3961014982269845,-0.3014850447623867,-0.0014124826629831877,-0.06119001512135448,True
