#{"t_start": 1787236830.7265546, "env_id": "Ant-v5"}
r,l,t
-44.413278,44,1.596356
-40.871607,34,1.621879
-79.939747,69,1.672183
-23.970674,20,1.687183
-1200.631931,1000,2.426207
-31.600306,31,2.449207
-16.58469,13,2.458208
-19.746104,18,2.471208
-1178.945549,1000,3.696899
-27.524364,20,3.712905
-51.076964,51,3.753216
-33.669904,32,3.776331
-18.730897,13,3.785332
-53.263768,42,3.81534
-72.987961,75,3.868855
-52.905425,46,3.901856
-29.256257,27,3.920863
-11.894742,9,3.927375
-26.448605,25,3.945375
-13.380328,11,3.953376
-65.37135,58,3.996377
-11.476442,9,4.003377
-68.535311,67,4.055909
-11.874897,12,4.06491
-18.905915,17,4.07691
-95.077289,88,4.140439
-21.724721,22,4.155528
-23.529213,22,4.173533
-13.352178,13,4.182528
-16.52159,17,4.195529
-105.448601,88,4.25806
-60.228149,53,4.295308
-12.55434,12,4.304306
-41.796115,39,4.332829
-18.69335,17,4.345828
-52.746819,53,4.38383
-59.574921,57,4.427357
-47.494012,45,4.461359
-54.435871,44,4.49336
-130.191159,115,4.574883
-52.453891,57,4.615891
-54.757731,53,4.654407
-1144.418175,1000,5.868817
-134.017759,123,5.957348
-26.548257,26,5.978351
-1178.54592,1000,6.711212
-67.248087,59,6.753737
-46.020217,43,6.785838
-17.031517,18,6.799839
-16.959294,16,6.811846
-45.329115,40,6.841362
-1141.387869,1000,8.070564
-104.553913,94,8.139101
-98.719497,102,8.213227
-37.967461,37,8.241743
-15.328807,13,8.250744
-26.96916,24,8.268884
-29.832701,29,8.289886
-74.846207,80,8.35141
-46.046167,45,8.384413
-47.429417,39,8.412419
-140.135725,118,8.499935
-38.363472,30,8.520941
-35.853323,30,8.544457
-16.964585,17,8.557456
-35.428085,32,8.58046
-34.642698,34,8.605458
-25.81987,18,8.618466
-87.078956,73,8.672982
-240.649364,229,8.841307
-64.149928,54,8.883313
-1115.178499,1000,10.104214
-83.105368,87,10.167736
-21.334805,19,10.183737
-34.785115,34,10.208736
-59.270899,58,10.251259
-32.843831,27,10.27279
-49.540685,47,10.306464
-39.91213,35,10.333986
-96.423797,87,10.396988
-43.49002,41,10.427503
-42.490827,34,10.454514
-26.763716,22,10.470517
-27.847661,30,10.494513
-26.183362,24,10.513521
-60.068298,60,10.558036
-51.350561,46,10.591037
-65.212276,72,10.64456
-54.047868,47,10.67856
-21.127279,16,10.69056
-48.526154,49,10.726569
-18.504609,16,10.738083
-126.751279,128,10.832715
-87.350161,75,10.888716
-47.507202,46,10.922724
-23.994683,19,10.93724
-64.216696,56,10.979242
-136.436562,130,11.551586
-53.419092,53,11.594582
-19.389449,15,11.605582
-68.866015,55,11.648313
-113.144277,129,11.755845
-48.237578,49,11.792359
-24.37195,21,11.807363
-14.320106,12,11.816369
-21.220934,22,11.832883
-40.557039,36,11.858885
-127.301098,129,11.953409
-37.619182,43,11.98341
-1137.752657,1000,12.718202
-76.839987,76,12.772242
-48.40792,49,12.807849
-1084.759959,1000,14.03233
-35.733189,34,14.057329
-73.799112,70,14.108332
-33.3655,32,14.132854
-68.852784,73,14.186513
-28.499058,25,14.20461
-10.397123,11,14.212647
-37.427458,39,14.240118
-23.467095,28,14.260125
-44.313153,44,14.292284
-204.914471,208,14.439326
-15.865786,13,14.448344
-49.526124,45,14.481328
-60.161387,54,14.522338
-167.419211,171,14.645376
-110.697981,116,14.730892
-52.82333,44,14.762909
-25.658599,21,14.779183
-49.764949,43,14.815184
-28.978305,26,14.833706
-16.790806,15,14.844706
-14.898435,15,14.856707
-26.940609,22,14.872703
-45.900514,48,14.907708
-1074.73277,1000,16.131698
-1083.542126,1000,16.875323
-41.806177,33,16.900323
-17.795185,19,16.914331
-26.784637,30,16.937868
-62.74519,51,16.976633
-38.3144,43,17.010638
-29.705766,23,17.028645
-13.764706,13,17.039161
-35.148671,43,17.544852
-53.117467,51,17.584853
-11.709989,13,17.594853
-15.254311,14,17.605849
-80.036335,82,17.670433
-59.024369,61,17.717435
-16.020297,17,17.730443
-16.921857,16,17.742957
-13.505376,11,17.751957
-51.34637,50,17.78805
-38.809397,37,17.815052
-176.31954,162,17.93309
-20.815956,19,17.947098
-21.564549,28,17.967106
-25.27121,32,17.9911
-58.680454,57,18.033626
-20.931129,28,18.05476
-1024.225949,926,18.740959
-40.440533,44,18.772483
-40.873378,35,18.799076
-58.119384,63,18.844599
-105.191652,115,18.927608
-18.042228,18,18.942125
-43.428413,34,18.968125
-80.433216,81,19.031136
-23.351524,26,19.051651
-30.002387,27,19.54164
-30.694275,30,19.565642
-142.738878,131,19.668797
-13.511315,13,19.678798
-17.707626,22,19.696799
-22.649098,22,19.7148
-20.061549,21,19.732806
-42.343134,44,19.765328
-15.511875,14,19.775429
-59.015307,70,19.827438
-12.478059,12,19.83596
-1091.923554,1000,20.581073
-76.235831,75,20.636598
-60.042772,65,20.683598
-35.610083,34,20.709601
-23.970804,24,20.727606
-71.68268,67,20.775643
-68.323477,61,20.821244
-66.015425,69,20.871761
-73.717695,89,20.940277
-20.722968,17,20.954277
-29.701306,25,20.973283
-53.344891,54,21.016281
-39.53719,37,21.044786
-87.13375,85,21.586558
-64.825957,54,21.628555
-101.198443,100,21.710321
-17.680734,18,21.724333
