#{"t_start": 1787237925.0067215, "env_id": "Ant-v5"}
r,l,t
-17.162368,17,0.026129
-76.347926,81,0.101661
-81.913306,74,0.172187
-53.325235,37,0.206188
-139.015915,80,0.284069
-173.168483,143,0.447354
-139.776303,135,0.629125
-83.509943,92,0.730871
-25.602955,23,0.756504
-20.68738,33,0.787014
-56.961466,44,0.829011
-40.556695,33,0.858529
-31.752027,31,0.885538
-1103.352893,1000,1.826801
-15.886346,10,1.835799
-14.140765,21,1.853301
-7.711709,12,1.863824
-180.444834,160,2.014442
-28.532343,40,2.596663
-36.089739,34,2.629664
-443.966394,386,3.115081
-77.974151,42,3.16239
-81.634111,57,3.222247
-1002.914459,1000,4.134892
-0.404011,42,4.177427
-32.731728,20,4.196427
-158.533138,208,4.397478
-16.336986,22,4.419479
-25.137832,33,4.451488
-84.893328,80,4.525109
-55.996136,74,4.592637
-56.946477,75,5.309116
-106.484437,92,5.404642
-35.46278,32,5.439642
-160.248491,109,5.549297
-8.956812,11,5.559297
-40.186788,34,5.586813
-36.575304,23,5.605925
-37.19559,30,5.633449
-60.036114,89,5.714977
-28.809574,30,5.740978
-29.559667,24,5.763502
-24.357554,13,5.774502
-90.665231,93,5.85851
-16.123534,27,5.882032
-101.748625,76,5.95316
-24.988617,12,5.963676
-352.995325,274,6.251068
-23.057356,39,6.287583
-26.594511,24,6.308586
-1089.352536,1000,7.852592
-7.129997,11,7.866117
-15.709311,28,7.892798
-41.393736,47,7.9388
-134.498732,100,8.039635
-76.034043,108,8.149168
-76.54609,74,8.212681
-1031.470756,1000,9.093265
-27.94761,18,9.112267
-20.420411,16,9.127266
-41.205535,52,9.176788
-57.253081,58,9.233791
-10.646445,12,9.247788
-6.95341,18,9.262798
-13.414854,15,9.276314
-48.61559,62,9.343316
-27.538362,38,9.385837
-134.544784,117,9.485371
-1015.135534,1000,11.193488
-12.842915,14,11.207488
-61.969464,38,11.241488
-28.271166,26,11.266006
-8.634366,30,11.294017
-21.959688,12,11.305017
-50.806289,39,11.342018
2.384821,21,11.361025
-150.196088,106,11.456552
-35.587912,18,11.472068
-86.819238,58,11.524373
-54.413154,49,11.574896
-99.323695,53,11.619908
-36.867266,26,11.643425
-35.262891,24,11.664433
-45.797485,37,11.694954
-57.183493,55,11.737955
-17.188451,36,11.769479
-38.021799,34,11.79848
-77.127141,72,11.864489
-36.994161,36,11.894124
-40.729407,50,11.940025
-1093.668835,1000,13.370157
-15.621872,19,13.387155
-42.606237,24,13.406158
-54.496905,51,13.451159
-100.585003,74,13.514833
-2.68694,16,13.529833
-111.144843,113,13.62833
-5.182162,20,13.646847
-188.471444,152,13.777888
-20.591754,13,13.790889
-1016.858353,1000,14.636355
-39.017821,29,15.197872
-33.798387,67,15.257878
-56.437621,43,15.299396
-56.941189,81,15.373925
-9.177859,39,15.406925
-924.369226,1000,16.283104
-87.780792,71,16.343102
-86.660966,61,16.392633
-150.236204,104,16.482159
-33.375334,36,16.510683
-153.075353,117,16.608854
-19.395735,13,16.618856
-939.048275,1000,18.050325
-83.62728,59,18.099849
-30.501804,28,18.125849
-74.440825,82,18.200378
-1.038704,13,18.211375
-30.342164,31,18.236375
-57.85257,63,18.286906
-67.437694,44,18.321907
-43.653355,18,18.335907
-7.725736,8,18.342907
-21.406104,21,18.360915
-168.362169,111,18.450435
-20.455397,33,18.476836
-24.699454,29,18.502361
-163.978446,70,18.56501
-119.250313,100,18.657547
-29.16199,25,18.67906
-41.76596,73,18.747059
-6.264983,29,18.771577
-43.057384,38,18.803586
-49.04051,35,18.834587
-65.106467,78,18.906111
-15.369998,42,18.941111
-955.38198,1000,20.281
-47.577322,72,20.343002
-50.732429,51,20.386528
-46.185078,23,20.406528
-8.222435,15,20.421528
-43.984027,63,20.471537
-20.93485,12,20.481052
-27.300553,18,20.495061
-46.789454,45,20.530208
-105.181823,102,20.613737
-30.126898,34,20.638736
-31.965196,38,20.669743
-38.377145,44,20.704266
-70.369671,97,20.78979
-22.054218,37,20.818791
-125.90442,76,20.876313
-56.387552,49,20.91541
-45.997007,36,20.947411
-9.592823,16,20.962419
-105.604036,85,21.028259
-129.511585,123,21.126784
-77.749594,111,21.211311
-48.796213,23,21.23131
-42.251065,33,21.257311
-31.987841,33,21.282832
-17.720006,20,21.298836
-15.902252,19,21.316836
-21.994014,26,21.339836
-20.415335,13,21.352837
-13.930835,17,21.36884
-7.78309,13,21.380354
-49.937743,31,21.404355
-77.676115,64,21.455355
-13.916127,13,21.466361
-58.592316,113,22.075621
-43.32237,80,22.140618
-48.846288,52,22.186144
-77.290831,52,22.232145
-21.989536,78,22.307666
-69.587218,58,22.357671
-59.890772,57,22.409199
-46.862836,53,22.4552
-15.345547,23,22.478731
-22.215499,27,22.506075
-51.959398,110,22.603606
-18.735753,23,22.624607
-13.44206,14,22.636607
-49.555214,58,22.687127
-46.528268,92,22.768137
-60.312952,24,22.790656
-11.461634,25,22.812159
-40.907114,48,22.852163
-126.800468,132,22.964694
-47.533503,30,22.989213
-25.624805,30,23.015739
-155.725478,128,23.112874
-60.728781,54,23.155873
-26.880784,35,23.184399
-821.357426,832,24.343107
-54.889008,37,24.371117
-975.690461,1000,25.099807
-165.634105,231,25.277378
-43.963728,18,25.292379
-25.447295,17,25.307379
-82.517325,68,25.367388
-25.721527,23,25.388909
-14.853952,10,25.397909
-62.919598,93,25.482431
-17.33219,33,25.514534
-157.041351,107,25.607058
-61.591197,37,25.639582
-23.482205,49,25.680104
-94.143876,52,25.720105
-19.307002,13,25.730106
-30.285855,48,25.766113
-102.938173,71,26.333853
-917.152547,1000,27.070567
-966.127152,1000,27.907577
-62.424078,76,28.438073
-20.451172,17,28.451073
-59.276519,34,28.476959
-14.41112,13,28.486967
-18.765327,13,28.496974
-50.515785,25,28.51505
-30.162292,32,28.541051
-26.64336,16,28.554052
-21.634768,13,28.564059
-44.736172,81,28.624579
-29.445456,51,28.65958
-18.300537,20,28.673586
-15.98258,19,28.687101
-10.646098,18,28.701102
-18.814468,31,28.723101
-106.120713,89,28.792629
-40.536739,49,28.827628
-9.987311,9,28.834628
-17.690071,22,28.850629
-11.87871,29,28.870636
7.767719,24,28.888151
-5.050007,13,28.897151
-10.735771,13,28.907152
1.521843,15,28.920151
-47.616908,46,28.953151
-7.131439,14,28.963159
-41.287007,113,29.044872
-48.26769,36,29.069879
6.338037,18,29.083396
-20.356543,29,29.106398
-16.803103,12,29.114396
-50.561517,56,29.154397
-5.423062,17,29.166404
-24.590582,19,29.178922
-30.98729,34,29.202922
-15.025061,28,29.222922
-13.257008,15,29.233923
-53.723272,68,29.283447
-29.708247,22,29.298447
-81.126309,40,29.328448
-14.483053,13,29.338448
-81.959511,47,29.372456
-50.222927,32,29.394974
-65.885788,74,29.447975
-44.983015,18,29.461975
-15.626961,49,29.496505
-86.780796,95,29.563627
-56.870761,46,29.599259
-34.130513,30,29.625267
-62.717939,58,29.676419
-56.732324,63,29.734935
-20.22246,46,29.774944
-36.831778,55,29.820068
-901.534822,1000,31.130478
-95.269617,81,31.189291
-8.583389,10,31.197286
-47.405558,48,31.231532
-52.153193,51,31.269526
-31.762606,25,31.288043
-969.885998,1000,32.052838
-12.359986,13,32.528305
-156.805072,144,32.637825
-52.840668,55,32.678831
-891.205912,1000,33.403039
-18.75275,11,33.411039
-24.425132,23,33.42804
-16.71766,16,33.44104
-12.767657,45,33.474046
-23.744134,44,33.513043
-51.791859,25,33.538043
-59.87916,60,33.596569
-140.084383,129,33.71421
-930.668029,1000,34.941462
-59.208982,76,34.993984
-22.464708,66,35.040286
-70.544632,64,35.08881
-42.733022,27,35.110811
-8.203259,15,35.121811
-12.957549,21,35.13681
-143.279811,79,35.197335
-23.014949,18,35.211334
-28.886367,34,35.235338
-39.297754,48,35.269344
-36.763046,19,35.283859
-108.023491,68,35.33186
-8.807319,44,35.363861
-79.259109,68,35.413384
-64.958788,40,35.442385
-35.912092,51,35.482901
-216.617212,205,35.633587
-30.946106,25,35.653099
-1.446856,24,35.671108
-95.604869,76,35.727624
-28.026225,26,35.746624
-45.796841,54,35.788149
-13.647419,54,35.828151
-114.426591,135,35.932784
4.476812,24,35.951785
-28.130606,24,35.970792
-64.276957,61,36.017829
-60.273452,74,36.075456
-1.71475,9,36.082964
-40.608939,33,36.58078
-30.522848,21,36.59706
-43.313224,43,36.631059
-39.587936,25,36.649346
-24.66083,39,36.677715
-2.625366,35,36.705231
-14.649976,12,36.715231
-0.406092,49,36.752231
-78.012022,46,36.784752
-89.494962,54,36.821753
-39.950335,30,36.842753
-11.083558,17,36.854753
-170.677129,133,36.948657
-24.581383,38,36.975672
-25.849335,15,36.987187
-61.732868,60,37.03333
-51.326351,20,37.04733
-15.263054,17,37.060331
-63.17954,50,37.096856
-24.38148,50,37.131857
-43.970724,37,37.158858
-34.684608,30,37.180996
-110.718462,84,37.242512
-56.993867,39,37.270391
-106.913151,138,37.370915
-14.53594,14,37.380914
-45.056377,71,37.431429
-255.352731,170,37.553644
-38.304497,56,37.594193
-8.291044,13,37.603193
-77.107002,68,37.655294
-20.305055,12,37.664294
-15.108486,21,37.6793
-25.022712,19,37.693814
-2.081839,13,37.702816
-9.489636,7,37.708815
-40.515259,28,37.727815
-17.984162,46,37.765815
-55.477952,62,37.810338
-89.814528,83,37.87253
-49.905961,41,37.9034
-920.633938,1000,39.100987
-20.907865,13,39.110987
-21.793202,48,39.144987
-12.193375,12,39.154988
-16.370593,15,39.166988
-61.184829,69,39.218511
-20.883693,35,39.247511
-57.105772,50,39.285029
-26.893029,16,39.297038
-39.819148,45,39.330039
-59.747379,81,39.388563
-35.205099,27,39.408564
-31.70005,24,39.425564
-909.79072,1000,40.645936
-25.814259,19,40.659939
-94.400521,90,40.726462
-13.445023,17,40.738465
-32.993548,78,40.791988
-15.290023,20,40.805988
-9.110528,35,40.830988
-10.202233,23,40.846989
-53.548839,28,40.865989
-43.672476,62,40.908512
-71.887714,144,41.011554
-13.735349,36,41.038196
-17.606009,15,41.049195
-28.025849,16,41.060195
-23.537334,49,41.096717
-76.726027,73,41.149718
-59.407721,40,41.178725
-107.40783,108,41.256246
-983.204575,1000,41.99844
-31.066005,82,42.514561
-59.128524,51,42.553151
-57.540001,100,42.626671
-30.021586,15,42.637671
-71.557105,141,42.739197
-17.971741,13,42.748195
-68.303898,74,42.800719
-8.244559,14,42.810719
-20.743474,22,42.82672
-23.815419,17,42.83872
-849.939206,1000,43.576087
-39.573353,29,43.597607
-14.645413,13,43.607607
-62.233243,46,43.640127
-7.720766,22,43.658128
-34.179744,21,43.674135
-41.699614,25,43.691655
-23.454544,25,43.710654
-116.95512,71,43.764656
-2.97623,41,43.796179
-9.804149,24,43.815179
-20.988717,19,43.83018
-147.772824,115,43.918702
-793.203179,1000,45.156859
-24.220663,20,45.171861
-10.632668,82,45.231384
-39.597106,60,45.274392
10.314021,38,45.302912
-54.699876,59,45.345913
20.582351,45,45.377921
-844.956846,1000,46.579315
-71.674011,75,46.632834
-45.735824,60,46.674842
-11.569583,21,46.690358
-111.357845,127,46.779365
-916.501946,1000,47.5091
-92.758819,82,47.57124
-19.451996,35,47.596761
-164.74293,108,47.677292
-19.579714,16,47.689799
-8.691665,26,47.709807
-45.593651,89,47.778815
-75.121056,99,47.856332
-110.267451,110,47.941445
-14.214514,33,47.966446
-46.948553,46,48.474942
-27.587913,32,48.499471
-62.730984,80,48.556561
-7.810814,34,48.581568
-58.548003,47,48.615084
-24.75893,22,48.631083
-12.155984,17,48.645084
-12.073105,34,48.672085
-19.600745,40,48.702611
-15.23236,11,48.71061
-41.242885,28,48.731611
-61.265771,64,48.775612
-62.410544,58,48.81713
-41.309989,70,48.866131
-16.707043,19,48.87914
-7.224199,11,48.88814
-37.018276,27,48.907656
-880.810858,1000,49.649662
-13.431768,38,49.677669
-51.382326,43,49.709186
-17.697557,12,49.719186
-10.94891,44,49.752186
-5.392645,15,49.764186
-812.395484,1000,50.969125
-71.08662,62,51.013174
-33.754233,58,51.05379
-43.643592,43,51.086798
-5.00737,44,51.120318
-40.703043,31,51.143318
-119.961072,123,51.233844
-23.705565,62,51.281852
-21.262282,80,51.341372
-21.642841,19,51.356373
-824.893508,1000,52.592895
-36.915848,141,52.696424
-81.860333,63,52.741425
-19.088673,57,52.782433
-49.437104,51,52.81795
-27.088272,39,52.84495
-48.031305,44,52.876951
-18.546375,22,52.893468
-45.391443,26,52.913478
-40.409437,24,52.931478
-3.186541,14,52.941478
-5.540133,31,52.965479
-15.272403,23,52.981487
-58.751371,25,53.001012
-57.255594,39,53.030149
-8.882124,18,53.042148
-40.679855,49,53.079156
-33.191494,51,53.121677
-30.090404,90,53.189684
-61.907494,51,53.229202
-14.440274,15,53.240201
-23.267745,18,53.255201
-50.94128,35,53.281209
-861.54498,1000,54.501349
-54.870067,66,54.548457
-76.184011,53,54.587465
-15.45012,18,54.600981
-43.772274,24,54.618982
-65.098385,104,54.694496
-118.775428,121,54.780513
-788.645191,1000,55.504185
-47.54551,27,55.524438
-75.774829,114,55.610961
-777.073176,1000,56.849815
-0.004224,43,56.880816
-20.405783,41,56.911444
-17.86056,19,56.925445
-77.552587,71,56.979445
-54.904154,82,57.043099
-35.034308,42,57.076678
-31.857921,27,57.098205
-22.030982,25,57.117779
-30.869679,33,57.142779
-61.01037,89,57.213691
-798.999549,1000,58.048115
-38.538097,37,58.568598
19.128693,60,58.612122
-32.12223,23,58.630121
-8.370067,32,58.653124
-16.996542,27,58.674188
11.901201,23,58.691194
-23.348435,16,58.703707
-3.578215,16,58.714708
-29.260076,38,58.742708
-27.946963,17,58.754707
-12.596459,17,58.766708
-819.529775,1000,59.497469
-16.214022,65,59.549129
-15.638726,14,59.560128
-40.915804,37,59.588135
-11.189872,23,59.60465
-23.395905,21,59.619651
-69.184502,102,59.697505
-25.342395,25,59.715025
-798.190204,1000,60.929775
22.672514,37,60.955775
-14.979521,21,60.970775
-8.478949,12,60.978775
-50.808901,58,61.020406
-26.110635,63,61.064407
-5.204463,20,61.078407
-39.150925,33,61.100933
-12.115899,13,61.110933
-67.690739,49,61.146934
-10.225272,21,61.161934
-5.716884,32,61.185942
-48.064886,44,61.217457
-7.295953,35,61.244458
-11.588045,24,61.262457
-6.049593,13,61.273458
-81.152936,77,61.333057
-10.876715,17,61.34558
-35.44275,47,61.380096
-75.86609,93,61.448619
-44.800329,31,61.47062
-20.023113,56,61.519274
-64.837551,34,61.547274
-19.905718,28,61.568275
-82.684063,59,61.612555
-42.128014,43,61.643077
-46.603011,68,61.701599
-82.482981,65,61.74968
-65.207922,113,61.833202
-14.058305,12,61.842203
-74.898522,85,61.911725
-117.808301,135,62.010244
-3.106184,47,62.044355
-20.025765,14,62.058356
-45.574351,63,62.57141
-60.624893,96,62.641935
-71.445388,80,62.698944
-27.820169,23,62.71646
-833.170851,1000,63.444667
3.414808,20,63.460442
-91.737307,95,63.532594
-40.819399,21,63.548595
-9.723613,11,63.557594
-9.754567,20,63.571595
-20.44243,47,63.607118
-18.435952,10,63.615119
-28.330771,36,63.642632
-137.874128,89,63.708162
-757.546558,1000,64.997515
-58.07082,68,65.046117
-34.531524,40,65.075117
-18.818304,54,65.115642
-46.564176,43,65.147643
-25.758559,22,65.164644
-85.240833,116,65.250168
-24.563169,60,65.297176
-40.38276,61,65.342696
-3.466459,36,65.368696
-103.931521,70,65.420219
-17.994093,19,65.43422
-17.537843,32,65.45722
-92.707612,64,65.502736
-21.88152,60,65.547831
-23.819376,14,65.557833
-42.507372,40,65.58884
-59.458445,83,65.65088
-34.93151,56,65.691886
-19.70915,23,65.709402
-25.877638,29,65.731401
-27.762369,13,65.741402
-27.320988,22,65.757402
-654.879929,814,66.814458
-17.008323,45,66.847458
-25.783924,22,66.862458
-758.293438,1000,67.597747
-11.015912,10,67.606263
