#{"t_start": 1787236830.7055573, "env_id": "Ant-v5"}
r,l,t
-19.603452,17,1.45183
-92.906342,81,1.51083
-85.166811,74,1.564354
-45.919679,37,1.592355
-95.946038,80,1.655885
-166.550218,143,1.760704
-151.499353,135,1.857479
-90.849451,92,1.925511
-24.464465,23,1.942024
-32.529248,33,1.966032
-51.896885,44,1.998033
-36.018061,33,2.023034
-40.305197,31,2.045557
-1189.569129,1000,2.782348
-13.660823,10,2.789862
-19.124416,21,2.806482
-13.407159,12,2.817485
-176.408739,160,2.940017
-67.969928,65,3.468367
-100.583809,81,3.533366
-12.340324,10,3.541366
-24.684244,22,3.557872
-27.782647,26,3.578873
-14.699479,12,3.587873
-33.329259,30,3.610873
-71.50299,72,3.666385
-45.794287,48,3.702895
-35.071924,38,3.735902
-20.316561,17,3.751201
-49.312457,44,3.786729
-75.442818,66,3.836337
-68.472539,60,3.877852
-117.759536,97,3.947373
-28.983054,25,3.964373
-17.218299,14,3.975373
-1129.427792,1000,4.714405
-16.20973,13,4.723405
-33.974401,27,4.743412
-49.519333,56,4.783436
-64.573026,60,4.827137
-40.820364,37,4.85368
-71.905558,65,4.90166
-1165.488579,1000,6.120828
-58.071457,52,6.157351
-26.694435,23,6.174351
-20.915115,18,6.187351
-34.149493,33,6.211353
-26.076611,26,6.231359
-1166.014621,1000,7.438044
-51.907813,39,7.470555
-47.903351,54,7.51198
-54.330702,59,7.558511
-12.597297,11,7.566506
-95.258,93,7.637511
-42.895475,44,7.671293
-60.3185,63,7.719297
-20.522194,23,7.737297
-64.718381,67,7.789335
-118.407565,114,7.87351
-39.286161,36,7.898511
-28.026784,26,7.917511
-1124.422203,1000,8.662979
-47.894384,48,8.698979
-1129.662825,1000,9.926525
-58.683333,60,9.973048
-589.70236,536,10.364985
-91.403854,93,10.430986
-98.438456,92,10.499512
-21.42966,19,10.51351
-31.282726,29,10.535518
-13.802101,10,10.542518
-29.953895,23,10.560033
-38.466185,31,10.582034
-90.667039,84,10.643043
-48.392212,47,10.676557
-24.896489,26,10.695558
-32.580475,28,10.715559
-56.422076,52,10.75308
-407.073778,368,11.502063
-80.229728,83,11.567583
-13.583943,14,11.580583
-13.78466,13,11.590584
-53.504082,48,11.62858
-27.165935,27,11.651088
-84.139983,85,11.719318
-55.318941,55,11.762832
-52.158811,56,11.804362
-21.772458,21,11.82036
-20.918347,22,11.836367
-59.175679,52,11.874882
-54.352971,52,11.913882
-184.526696,198,12.058937
-27.580774,30,12.081944
-41.021257,39,12.11094
-26.193276,22,12.126943
-97.212551,101,12.199467
-1075.717236,1000,12.957895
-1038.731069,1000,14.163853
-63.179143,67,14.214512
-63.370486,60,14.258115
-14.260508,12,14.267115
-39.382032,33,14.291637
-11.108165,15,14.302274
-19.794683,19,14.316279
-29.151148,28,14.337285
-52.219071,53,14.3758
-68.064353,65,14.424801
-19.083501,19,14.438808
-92.422565,88,14.503325
-21.626424,24,14.521325
-50.793531,53,14.559848
-24.009624,21,14.57485
-120.353972,107,14.653374
-55.421325,54,14.692374
-27.598472,23,14.709377
-88.614998,103,14.784906
-31.545093,32,14.809181
-106.117464,106,14.886704
-46.754515,48,14.922705
-108.511207,116,15.48234
-93.56028,107,15.569068
-34.672517,36,15.597068
-20.379571,18,15.611073
-23.843609,31,15.635073
-15.911397,15,15.64608
-22.146236,22,15.663603
-57.609944,58,15.709119
-25.150427,22,15.726119
-18.09646,19,15.742125
-23.04129,26,15.761651
-28.635004,30,15.783713
-58.186564,58,15.825038
-52.371163,50,15.861327
