episode,checkpoint_fraction,target_timesteps,actual_model_timesteps,condition_id,reward_id,constraint_id,ctrl_cost_weight,common_rescore_ctrl_cost_weight,forward_progress_shaping_weight,lateral_drift_shaping_weight,lateral_drift_shaping_scale,lateral_shaping_signal,lateral_velocity_target,effort_shaping_weight,effort_shaping_scale,orientation_shaping_weight,orientation_shaping_scale,orientation_shaping_function,replace_forward_reward_with_tracking,forward_velocity_target,forward_velocity_tracking_scale,forward_velocity_tracking_weight,reward_forward_tracking_sum,reward_forward_replacement_sum,action_rate_shaping_weight,reward_action_rate_shaping_sum,action_rate_penalty_sum,vertical_velocity_shaping_weight,vertical_velocity_shaping_scale,reward_vertical_velocity_shaping_sum,vertical_velocity_penalty_sum,roll_pitch_angular_velocity_shaping_weight,roll_pitch_angular_velocity_shaping_scale,reward_roll_pitch_angular_velocity_shaping_sum,roll_pitch_angular_velocity_penalty_sum,foot_geom_names,foot_landing_height_threshold,foot_landing_active_count_sum,foot_landing_active_count_by_foot,foot_lateral_velocity_shaping_weight,foot_lateral_velocity_shaping_scale,reward_foot_lateral_velocity_shaping_sum,foot_lateral_velocity_penalty_sum,foot_lateral_velocity_penalty_sum_by_foot,foot_vertical_velocity_shaping_weight,foot_vertical_velocity_shaping_scale,reward_foot_vertical_velocity_shaping_sum,foot_vertical_velocity_penalty_sum,foot_vertical_velocity_penalty_sum_by_foot,pitch_balance_shaping_weight,reward_pitch_balance_shaping_sum,pitch_balance_event_completed_count,pitch_balance_event_score_sum,pitch_balance_event_score_mean,pitch_balance_positive_time_seconds,pitch_balance_negative_time_seconds,pitch_balance_neutral_time_seconds,training_seed,seed,condition_objective_return,common_rescored_return,proxy_return,base_proxy_return,reward_shaping_sum,reward_forward_shaping_sum,reward_lateral_shaping_sum,reward_effort_shaping_sum,reward_orientation_shaping_sum,orientation_penalty_sum,reward_forward_sum,reward_ctrl_sum,reward_contact_sum,reward_survive_sum,base_reward_reconciliation_error,ctrl_cost_reconciliation_error,net_forward_progress,net_forward_progress_per_step,environment_dt,episode_duration_seconds,mean_forward_velocity,evaluation_horizon_steps,fixed_horizon_duration_seconds,fixed_horizon_mean_forward_velocity,net_displacement_direction_error_rad,net_displacement_direction_error_degrees,cumulative_squared_action,mean_squared_action_per_step,action_saturation_rate,cumulative_squared_action_change,mean_squared_action_change_per_transition,normalised_action_roughness,action_change_transition_count,effort_distance_min,effort_per_distance_defined,cumulative_squared_action_per_unit_distance,control_effort,control_effort_per_unit_distance,unhealthy_termination,termination_category,low_z_termination,high_z_termination,non_finite_termination,other_unhealthy_termination,time_limit_truncation,fall,lateral_drift_final_abs,lateral_drift_mean_abs,lateral_drift_max_abs,cumulative_lateral_path,cumulative_planar_path,forward_path_efficiency,torso_tilt_mean,torso_tilt_std,torso_tilt_rms,torso_tilt_p95,torso_tilt_max,inversion_tilt_threshold_rad,inverted_step_fraction,longest_inverted_run_steps,longest_inverted_run_seconds,sustained_inversion_seconds,sustained_inversion,full_horizon_completed,intent_compliant,intent_failure_reasons,action_observation_augmented,action_constraint_enabled,action_slew_l2_limit,action_slew_intervention_count,action_slew_intervention_rate,cumulative_action_correction_l2,mean_action_correction_l2,max_action_correction_l2,cumulative_proposed_squared_action_change,proposed_action_change_transition_count,proposed_normalised_action_roughness,episode_length,terminated,truncated
1,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,95.88467417948515,-47.94203641960941,0.2,-1.9970908764170476,9.985454382085248,0.05,1.014092584749083,-8.304791810264318,166.0958362052864,0.05,1.9893176307304792,-10.850278186893588,217.0055637378715,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2105,"[512, 593, 470, 530]",0.025,1.0,-16.461491898633465,658.4596759453391,"[174.84058776736242, 172.89792536435098, 184.51431881794096, 126.20684399568434]",0.025,1.0,-5.523101193483965,220.92404773935863,"[52.43891565210049, 56.80146478973483, 54.66712683764272, 57.01654045988072]",0.0,0.0,77,18.776527680303417,0.24385100883510932,6.4,35.9,0.0,62403,72401,919.5710694636856,1016.3315896998803,919.5710694636856,1016.3315896998796,-96.76052023619508,0.0,-4.995195723051019,0.0,-0.6865341278420889,6.865341278420892,143.82671059909453,-125.51006265796885,-1.9850582412453288,1000.0,-6.821210263296962e-13,0.0,7.191476273147753,0.007191476273147753,0.05,50.0,0.14382952546295505,1000,50.0,0.14382952546295505,0.23801793088784057,13.63742288830978,251.0201253159377,0.2510201253159377,0.000125,319.5345402267279,0.3198543946213493,0.009995449831917165,999,1e-08,True,34.9052288823119,251.0201253159377,34.9052288823119,False,none,False,False,False,False,True,False,1.7447740437930013,0.6279879393868653,1.81211326154104,19.391210459643283,28.582133599854746,0.2516073983078821,0.15451175335934436,0.06070797720803354,0.1660100612097652,0.262002180412238,0.3656729792657653,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,319.5345402267279,999,0.009995449831917165,1000,False,True
2,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,89.27176394954459,-39.09876389888168,0.2,-2.0291143225767088,10.145571612883545,0.05,1.014092584749083,-6.253351278185681,125.06702556371366,0.05,1.9893176307304792,-8.93302615477509,178.66052309550153,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2250,"[389, 772, 443, 646]",0.025,1.0,-15.39089608373332,615.6358433493335,"[113.28827039255556, 224.70086310278296, 93.02183928725469, 184.62487056673993]",0.025,1.0,-4.705539355734331,188.2215742293735,"[48.40775581210186, 44.01503131746886, 53.482538881984055, 42.31624821781826]",0.0,0.0,60,5.568332484508956,0.0928055414084826,1.9000000000000001,40.5,0.0,62403,72402,895.9828908737919,976.5026759828284,895.9828908737919,976.5026759828287,-80.51978510903668,0.0,-3.33619429961797,0.0,-0.7728997155318176,7.728997155318168,128.37052784842632,-149.65607708071713,-2.2117747848808276,1000.0,3.410605131648481e-13,0.0,6.418328663185966,0.006418328663185966,0.05,50.0,0.12836657326371934,1000,50.0,0.12836657326371934,0.03432602157878091,1.966736163939137,299.31215416143425,0.29931215416143425,0.0,324.65829161227344,0.3249832748871606,0.010155727340223769,999,1e-08,True,46.63397122029896,299.31215416143425,46.63397122029896,False,none,False,False,False,False,True,False,0.22040225987270934,0.37977570085581475,0.8235705128796714,15.09402661188986,24.874777000828583,0.2580255759869594,0.16580174062515227,0.05969607358341955,0.176220993061574,0.280447315400494,0.47192929406543915,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,324.65829161227344,999,0.010155727340223769,1000,False,True
3,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,87.25519759912638,-51.6811886342056,0.2,-2.0061564929346534,10.030782464673274,0.05,1.014092584749083,-7.196208769343755,143.924175386875,0.05,1.9893176307304792,-9.770805738177895,195.41611476355774,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2152,"[428, 689, 432, 603]",0.025,1.0,-15.263734526225765,610.5493810490312,"[130.56063060471723, 207.8936145058998, 116.95748184433235, 155.13765409408154]",0.025,1.0,-5.298264067256482,211.93056269025934,"[52.12420212077481, 51.20688625748593, 54.24187872206868, 54.357595589930014]",0.0,0.0,71,6.680047730047733,0.09408517929644694,2.5,41.6,0.0,62403,72403,909.0415433546783,1005.1198742065872,909.0415433546783,1005.1198742065884,-96.07833085190768,0.0,-4.194870727733683,0.0,-0.6671018960299854,6.671018960299854,138.93638623333166,-131.64339973472923,-2.173112292015234,1000.0,1.2505552149377763e-12,0.0,6.94679301074923,0.00694679301074923,0.05,50.0,0.1389358602149846,1000,50.0,0.1389358602149846,0.1330427502555097,7.622788084453761,263.28679946945846,0.26328679946945843,0.0,320.9850388695448,0.32130634521475954,0.010040823287961236,999,1e-08,True,37.90048142532208,263.28679946945846,37.90048142532208,False,none,False,False,False,False,True,False,0.9297123500495064,0.6107967042252972,1.3998596235383305,17.19475732725142,26.545277765848923,0.26169600002025334,0.1566660329326745,0.047092258302516565,0.16359072915936526,0.22976926950343132,0.3325857857162722,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,320.9850388695448,999,0.010040823287961236,1000,False,True
4,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,87.15067854281314,-50.74663883569996,0.2,-1.9591545201485265,9.795772600742637,0.05,1.014092584749083,-5.288958029096835,105.77916058193676,0.05,1.9893176307304792,-8.403562600893709,168.07125201787426,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2299,"[403, 764, 459, 673]",0.025,1.0,-14.776541051447998,591.061642057919,"[117.03544658324174, 197.74310431580054, 106.97036162224673, 169.31272953663034]",0.025,1.0,-4.5841108028710424,183.36443211484163,"[41.854594669603564, 43.63990562615706, 53.09679704651028, 44.77313477257102]",0.0,0.0,63,4.726816484169425,0.07502883308205437,1.4500000000000002,42.1,0.0,62403,72404,897.0039411809344,986.5333677468842,897.0039411809344,986.533367746885,-89.52942656595114,0.0,-3.1323964616978297,0.0,-0.6380642640952422,6.38064264095243,137.8973173785131,-149.10660804356976,-2.2573415880590084,1000.0,7.958078640513122e-13,0.0,6.894866046997458,0.0068948660469974575,0.05,50.0,0.13789732093994916,1000,50.0,0.13789732093994916,0.10547527021425951,6.043287826278992,298.21321608713953,0.2982132160871395,0.0,313.4647232237644,0.3137785017254899,0.009805578178921559,999,1e-08,True,43.25148799910391,298.21321608713953,43.25148799910391,False,none,False,False,False,False,True,False,0.7299467629978889,1.1192644130951017,2.1399051516237493,14.233781552647189,24.401337167814148,0.2825609924398702,0.15372585269800884,0.04427778909944237,0.15997549935932254,0.21308203352068594,0.3656559297444975,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,313.46472322376434,999,0.009805578178921557,1000,False,True
5,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,85.03303834943078,-32.314415318013495,0.2,-2.127311364314099,10.636556821570489,0.05,1.014092584749083,-6.925056051784731,138.50112103569452,0.05,1.9893176307304792,-9.206108765336644,184.12217530673274,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2233,"[462, 681, 479, 611]",0.025,1.0,-15.72133801416187,628.8535205664743,"[160.7820478910408, 143.5325332724294, 171.50027773360196, 153.03866166940227]",0.025,1.0,-5.172557054912594,206.9022821965042,"[49.31585837681846, 53.8958482349915, 49.43415029238738, 54.25642529230652]",0.0,0.0,78,14.730330183127885,0.18885038696317802,5.5,37.0,0.0,62403,72405,900.0921136002638,976.1047456640538,900.0921136002638,976.1047456640529,-76.01263206379143,0.0,-3.880237883705763,0.0,-0.6656076115622086,6.65607611562208,117.34745366744424,-139.1288721047447,-2.113835898645633,1000.0,-9.094947017729282e-13,0.0,5.867371994899284,0.005867371994899284,0.05,50.0,0.11734743989798568,1000,50.0,0.11734743989798568,0.013213891773374732,0.7571002295570111,278.2577442094894,0.2782577442094894,0.0,340.36981829025564,0.3407105288190747,0.010647204025596085,999,1e-08,True,47.42459561987697,278.2577442094894,47.42459561987697,False,none,False,False,False,False,True,False,0.0775353313227996,0.6744846646862703,1.556445739999973,16.535106175970657,26.337523926923918,0.22277614293503414,0.15592199647506436,0.048902648174323826,0.16341094817432425,0.23260761778642747,0.3200193648078503,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,340.36981829025564,999,0.010647204025596085,1000,False,True
6,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,81.67632129186036,-45.87433861853595,0.2,-1.954408035332351,9.772040176661768,0.05,1.014092584749083,-7.408120496207918,148.16240992415825,0.05,1.9893176307304792,-9.242665538985982,184.85331077971946,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2229,"[513, 656, 493, 567]",0.025,1.0,-16.57917081388008,663.1668325552038,"[165.48561335625078, 193.99898932769156, 139.2202483182721, 164.46198155298887]",0.025,1.0,-5.260859498370467,210.43437993481834,"[49.16884802638057, 53.30026032432601, 52.91091726126155, 55.054354322850415]",0.0,0.0,71,7.533470998383253,0.1061052253293416,2.9000000000000004,41.6,0.0,62403,72406,897.8740669120958,988.8965037183289,897.8740669120958,988.8965037183291,-91.02243680623258,0.0,-4.056614700671377,0.0,-0.6462591042484357,6.462591042484353,127.55065991039629,-136.55358142443905,-2.1005747676283817,1000.0,2.2737367544323206e-13,0.0,6.37772048336248,0.00637772048336248,0.05,50.0,0.1275544096672496,1000,50.0,0.1275544096672496,0.37703446765248705,21.60248372744927,273.1071628488781,0.2731071628488781,0.0,312.7052856531766,0.3130183039571337,0.009781821998660428,999,1e-08,True,42.82206527572525,273.1071628488781,42.82206527572525,False,none,False,False,False,False,True,False,2.5254379853896793,1.347048900021249,2.7747456060747964,16.940995631712898,25.596548271490168,0.2491633018529332,0.15190939751735766,0.05341901188942709,0.16102812141153897,0.23011715119306717,0.4023522288515643,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,312.7052856531766,999,0.009781821998660428,1000,False,True
7,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,105.64579577764381,-53.67768617099111,0.2,-2.0031458758232357,10.015729379116197,0.05,1.014092584749083,-7.316351591842718,146.32703183685433,0.05,1.9893176307304792,-10.040768136443546,200.81536272887058,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2262,"[465, 709, 497, 591]",0.025,1.0,-16.139997600220045,645.5999040088021,"[155.704428780172, 197.986690736046, 143.6993043225528, 148.2094801700308]",0.025,1.0,-5.248193580740105,209.92774322960452,"[46.2435285601705, 51.490244693068334, 52.14098710823002, 60.05298286813544]",0.0,0.0,73,11.087803503685855,0.15188771922857336,2.85,39.5,0.0,62403,72407,913.2328691834291,1012.2700272189721,913.2328691834291,1012.2700272189724,-99.0371580355422,0.0,-3.939955163463716,0.0,-0.6710599160176289,6.710599160176303,159.32348194863522,-144.93148589126952,-2.121968838393574,1000.0,2.2737367544323206e-13,0.0,7.966172423313405,0.007966172423313406,0.05,50.0,0.1593234484662681,1000,50.0,0.1593234484662681,0.2568145896088863,14.714392101973473,289.86297178253903,0.28986297178253906,0.0,320.5033401317183,0.3208241642960143,0.010025755134250447,999,1e-08,True,36.38673083879536,289.86297178253903,36.38673083879536,False,none,False,False,False,False,True,False,2.0920250929629165,1.1736398947338953,2.1923179171224,16.429394171629095,26.948215067176626,0.2956103921337757,0.15550620066011736,0.052406935690210925,0.16409955926870307,0.24828345877820643,0.34636271030072013,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,320.5033401317183,999,0.010025755134250447,1000,False,True
8,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,90.44342301714086,-50.66570908947145,0.2,-2.06929891169951,10.346494558497557,0.05,1.014092584749083,-6.43636114403213,128.72722288064284,0.05,1.9893176307304792,-9.653741362577431,193.07482725154858,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2203,"[397, 753, 396, 657]",0.025,1.0,-14.753673233440516,590.1469293376208,"[122.81256346836736, 224.86918499905252, 93.41637966317302, 149.04880120702776]",0.025,1.0,-5.044466912845343,201.77867651381362,"[47.31083259484999, 48.87136600123874, 55.46528777226806, 50.13119014545683]",0.0,0.0,66,8.244697044376396,0.12491965218752116,2.95,38.45,0.0,62403,72408,890.7799270267101,982.8036151584539,890.7799270267101,982.8036151584539,-92.02368813174367,0.0,-2.7046266089546234,0.0,-0.6958108687224573,6.9581086872245885,141.1091321066125,-156.05796064700795,-2.2475563011504973,1000.0,0.0,0.0,7.055342079623402,0.007055342079623402,0.05,50.0,0.14110684159246803,1000,50.0,0.14110684159246803,0.051110934602377936,2.928440839685416,312.1159212940159,0.3121159212940159,0.000125,331.08782587192184,0.33141924511703885,0.010356851409907464,999,1e-08,True,44.238240721940436,312.1159212940159,44.238240721940436,False,none,False,False,False,False,True,False,0.3609194623380764,0.2829029054674054,0.7525623104501168,13.236574461272061,24.152451776485453,0.2921170134161038,0.15987602360763833,0.048565157167140535,0.1670895490904778,0.24230967720381252,0.35641392201298505,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,331.08782587192184,999,0.010356851409907464,1000,False,True
9,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,77.42649025589472,-23.003793451494282,0.2,-1.891873585907406,9.45936792953701,0.05,1.014092584749083,-8.163191210455796,163.26382420911565,0.05,1.9893176307304792,-10.382336927283678,207.64673854567323,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2098,"[441, 607, 462, 588]",0.025,1.0,-16.176672490518953,647.0668996207579,"[151.599535345861, 143.0362024994456, 191.6260432099793, 160.80511856547216]",0.025,1.0,-5.459982646530485,218.39930586121912,"[51.36712298497774, 55.43251127575173, 49.561584681487595, 62.038086919002126]",0.0,0.0,73,15.717148374501317,0.215303402390429,5.95,37.6,0.0,62403,72409,905.1321381908094,975.9804110546614,905.1321381908094,975.980411054662,-70.84827286385328,0.0,-5.085069954187448,0.0,-0.6853525974751428,6.853525974751422,100.430283707389,-122.52323754208155,-1.9266351106459385,1000.0,5.684341886080801e-13,0.0,5.021585606297028,0.005021585606297028,0.05,50.0,0.10043171212594056,1000,50.0,0.10043171212594056,0.20905312841841645,11.977861952381673,245.0464750841631,0.24504647508416308,0.0,302.6997737451843,0.303002776521706,0.009468836766303312,999,1e-08,True,48.7986254335437,245.0464750841631,48.7986254335437,False,none,False,False,False,False,True,False,1.0653432266155871,0.7351220378144434,1.4195269111226985,19.435673823292447,27.482853517099397,0.18271703857725968,0.15309886355687025,0.06394778650196825,0.16591739336460926,0.2535065064591448,0.5183530833766103,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,302.6997737451843,999,0.009468836766303312,1000,False,True
10,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,79.60083032941448,-38.37368981706551,0.2,-2.004439134636968,10.022195673184823,0.05,1.014092584749083,-7.330172557369209,146.6034511473841,0.05,1.9893176307304792,-8.150981068090974,163.01962136181928,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2210,"[492, 615, 528, 575]",0.025,1.0,-15.86692934493387,634.6771737973555,"[147.643125356576, 169.50598629888515, 163.47783579613557, 154.05022634575894]",0.025,1.0,-5.201876487552267,208.0750595020904,"[50.37076223247369, 52.29019604568777, 51.38624864957282, 54.02785257435631]",0.0,0.0,78,7.984470889734048,0.10236501140684677,3.25,40.050000000000004,0.0,62403,72410,904.1452171606722,985.9744980557541,904.1452171606722,985.9744980557535,-81.82928089508175,0.0,-4.210393818943665,0.0,-0.6907986664894313,6.90798666489432,117.97452014647992,-129.7301530278796,-2.2698690628462814,1000.0,-5.684341886080801e-13,0.0,5.898717305203227,0.005898717305203227,0.05,50.0,0.11797434610406453,1000,50.0,0.11797434610406453,0.4197443526627847,24.049579882028382,259.4603060557592,0.2594603060557592,0.0,320.71026154191435,0.32103129283474907,0.010032227901085908,999,1e-08,True,43.98588585130036,259.4603060557592,43.98588585130036,False,none,False,False,False,False,True,False,2.632396687601582,1.484460013936789,2.6902832521734226,17.42470405448619,25.770578813035193,0.2288934737554112,0.1577719222173638,0.053224044737941074,0.16650759255489897,0.23548806748570697,0.3795761044276226,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,320.71026154191435,999,0.010032227901085908,1000,False,True
