#{"t_start": 1787237937.5501997, "env_id": "Ant-v5"}
r,l,t
-26.783687,38,24.264274
-39.841312,41,24.294275
-68.630946,99,24.363795
-51.930471,55,24.403351
-10.575436,17,24.416186
-19.851935,15,24.427194
-84.858742,93,24.494852
-26.488223,20,24.509852
-917.604313,1000,25.24486
-8.117534,17,25.257859
-94.858848,117,25.811164
-14.272575,8,25.817164
8.696395,20,25.832172
-29.977573,47,25.868184
-25.465348,19,25.884183
-31.664682,27,25.904185
-49.232326,32,25.929449
-25.16719,20,25.945966
-112.43005,52,25.986344
-123.573719,92,26.052867
-56.923421,44,26.084867
-13.085015,34,26.108868
-32.363923,75,26.163394
-125.014382,105,26.238402
-115.073989,106,26.31392
-27.026637,14,26.324919
-29.827206,17,26.337927
-16.271544,12,26.345952
-15.224276,33,26.369533
-11.637892,13,26.379533
-62.541494,61,26.42144
-147.40166,138,26.521982
-68.967867,84,26.583508
-60.567931,50,26.62251
-21.204964,42,26.655031
-57.184166,95,26.726033
-10.555423,16,26.738041
-13.615071,22,26.75456
-946.605809,1000,27.988935
-68.167056,64,28.035942
-148.540391,163,28.156984
-53.751272,27,28.176984
-31.567249,19,28.190984
-8.546788,33,28.213984
-31.809554,26,28.231992
-55.416921,33,28.254509
-28.441836,71,28.305508
-44.667498,35,28.329519
-61.29179,49,28.364033
-41.565522,65,28.410034
-78.604131,84,28.470084
-28.426759,34,28.495717
-904.478503,1000,29.226641
-3.479874,12,29.235649
-72.970371,59,29.738132
-6.486385,29,29.760646
-31.222053,27,29.781647
-987.020047,1000,30.514853
-11.680527,16,30.526853
-78.125292,104,30.604377
-65.03584,42,30.636385
-97.933653,122,30.723906
-31.18767,45,30.756429
-15.266131,26,30.775429
-144.63598,98,30.849957
-19.782897,14,30.860956
-125.42896,128,30.956486
-19.587078,32,30.980601
-28.095509,19,30.997602
-96.896235,74,31.053129
-82.182119,91,31.12065
-91.827418,60,31.165177
-58.837972,78,31.224178
-96.841581,103,31.766117
-18.422023,20,31.783117
-41.937536,29,31.804118
-881.906374,1000,32.568381
-30.400761,23,32.584383
-1.060936,44,32.617383
-13.036236,24,32.63439
-35.089336,23,32.651906
-8.416998,14,32.661905
-12.922127,12,32.669906
-1.56144,36,32.696906
-11.657649,13,32.706907
-19.374506,18,32.718907
-16.615622,23,32.735914
-20.588389,30,32.758434
-26.830769,21,32.774434
-32.63051,33,32.798435
-73.172094,54,32.836442
-2.964809,38,32.863958
-30.645399,23,32.880959
-104.749926,150,32.987601
1.594354,23,33.005608
-86.657681,90,33.071209
-93.870676,109,33.152828
-25.056155,37,33.180828
-87.877463,71,33.230835
-119.486716,124,33.788222
0.417362,11,33.797222
-16.682361,12,33.806222
-38.312717,25,33.825223
2.744919,11,33.834228
-69.763246,78,33.896747
-58.848215,92,33.963677
-58.794496,34,33.98983
-45.660172,81,34.049356
-15.230615,46,34.082356
-946.027399,1000,34.804559
-14.011157,14,34.81456
-147.634885,169,34.940096
-42.978359,39,34.969138
-11.165332,15,34.97976
-41.219566,62,35.025762
-55.584666,85,35.089291
-30.574477,22,35.107807
-96.41224,96,35.178329
-83.0996,65,35.698706
-905.761721,1000,36.442186
-35.391512,26,36.46171
-205.165011,169,36.585352
1.701662,38,36.613353
-893.379172,1000,37.832086
-52.06823,48,37.870614
-867.767009,1000,38.60584
-37.961064,31,38.627841
-67.468448,57,38.671365
-13.355089,14,38.681365
-34.485831,57,38.724366
-44.540425,71,38.779894
-28.0547,28,38.801894
-12.149202,30,38.824894
-16.383031,49,38.862418
-54.662361,67,38.914419
-26.061124,28,38.936428
-158.444407,150,39.05226
-19.279866,30,39.07626
-88.867533,95,39.150311
-82.448603,69,39.203314
-59.543364,44,39.707228
-25.135097,49,39.747236
-132.482058,137,39.852281
-18.591525,29,39.874282
-39.02111,24,39.891282
-7.008226,13,39.901282
-29.306404,29,39.922282
-860.514682,1000,40.668722
-38.912303,33,40.693722
-19.280355,14,40.704721
0.99115,30,40.726723
-903.20353,1000,41.964871
-29.851478,23,41.982979
-12.821674,16,41.993979
-20.794503,22,42.009979
-14.272677,28,42.030979
-17.363157,15,42.041986
5.403407,11,42.048987
-19.047394,20,42.064502
-11.627804,29,42.085503
-22.499925,27,42.104504
-10.295163,60,42.14551
-12.949051,36,42.171026
-23.673138,28,42.190027
-17.144334,17,42.202027
-11.936339,23,42.219027
-19.977634,28,42.240035
-79.064962,42,42.268551
4.138592,82,42.324553
-35.760031,44,42.355589
0.627188,12,42.364181
-44.146364,35,42.389181
-51.050568,51,42.425182
-15.264806,36,42.450697
-15.791953,13,42.460713
-33.828742,36,42.485815
-29.3521,19,42.499815
-20.478033,24,42.516815
-11.385566,13,42.526816
-17.669016,41,42.557339
-7.620675,14,42.568338
-34.620925,87,42.63434
-75.976929,86,42.698864
-51.591327,44,42.730863
-91.068453,74,42.784388
-41.218862,61,42.828392
-23.298393,24,42.847394
-32.152645,47,42.882913
-22.186524,17,42.895913
-130.907091,80,42.955707
-19.24267,19,42.969708
-125.984886,147,43.079484
-25.514615,33,43.105006
-842.559175,1000,44.328332
-42.026095,37,44.355368
-40.193882,36,44.381966
-105.518943,93,44.450975
-10.078702,11,44.459494
-52.682661,96,44.536201
-15.052814,15,44.548211
-12.114789,16,44.561726
-8.810297,32,44.5863
-16.117968,32,44.6123
-6.990681,22,44.628688
-75.22895,53,44.673212
-30.292229,16,44.685212
-17.568563,43,44.716253
-9.112181,24,44.770779
-48.756275,55,44.816379
-90.814518,48,44.853902
-101.34589,110,44.933903
-14.655546,18,44.946909
-7.812006,13,44.956436
-27.081941,21,44.971951
-24.88723,30,44.993537
-51.04374,30,45.015538
-50.959647,105,45.098872
-37.2804,58,45.1466
-15.502506,12,45.156115
-3.005188,51,45.198596
-67.20805,46,45.234718
-91.592545,125,45.839359
-16.286184,19,45.854875
-144.936089,124,45.953979
-79.182429,124,46.047127
-69.724667,73,46.100642
-0.326642,20,46.116709
-35.995782,42,46.148713
-58.132173,45,46.182229
-13.991675,19,46.197229
-14.10356,10,46.20423
-35.923861,44,46.23623
-22.817696,26,46.254748
-1.883906,75,46.306758
-43.832857,32,46.329757
-66.507255,77,46.383565
-9.233959,15,46.393567
-10.195615,11,46.401568
-15.410082,14,46.411568
-25.603042,28,46.430568
-21.809317,42,46.460088
-50.173838,63,46.506348
-78.137225,118,46.594875
-23.413805,12,46.603876
-40.201284,105,46.679343
-18.208789,13,46.689344
-44.890875,28,46.710344
-19.401479,18,46.724344
-108.103283,114,46.805867
-28.265788,40,46.834867
-60.923514,47,46.869389
-15.796921,16,46.88139
-70.384376,40,46.91339
-3.762995,13,46.92239
-32.213973,24,46.941922
-33.27236,33,46.973029
-15.062573,75,47.02965
-26.565289,20,47.044657
-47.811311,38,47.073172
-19.27139,43,47.10702
-27.447144,38,47.13502
0.707449,14,47.145027
10.310956,37,47.172546
-90.829839,56,47.216548
-55.694252,34,47.241645
-6.579225,59,47.285332
-77.28114,44,47.317332
-7.13616,13,47.790021
-58.489533,47,47.829022
-38.503003,18,47.844029
-11.919967,15,47.855536
-844.624114,1000,48.584455
-21.874388,43,48.616456
-37.304331,41,48.646463
-23.698419,35,48.671978
-45.660723,101,48.746986
-21.784159,13,48.758004
-32.131073,58,48.801102
-5.195293,13,48.810617
-7.740136,17,48.823617
-59.966504,54,48.863139
-14.766653,17,48.875138
-35.858054,72,48.928141
-23.09267,93,49.006796
-65.891542,69,49.058077
-26.177504,51,49.096085
-16.759279,29,49.118598
-28.862154,15,49.132598
-14.528244,15,49.147604
1.262342,8,49.154606
-13.414373,17,49.16712
-17.97172,60,49.212202
-25.966997,56,49.254209
-73.710741,78,49.312724
-19.340432,13,49.792451
-89.23882,149,49.909278
-16.47828,18,49.922275
