training_seed,default__target_speed_abs_error_m_per_s,shaped__target_speed_abs_error_m_per_s,shaped_minus_default__target_speed_abs_error_m_per_s,default__fixed_horizon_mean_forward_velocity_m_per_s,shaped__fixed_horizon_mean_forward_velocity_m_per_s,shaped_minus_default__fixed_horizon_mean_forward_velocity_m_per_s,default__direction_error_degrees,shaped__direction_error_degrees,shaped_minus_default__direction_error_degrees,default__forward_path_efficiency,shaped__forward_path_efficiency,shaped_minus_default__forward_path_efficiency,default__normalised_action_roughness,shaped__normalised_action_roughness,shaped_minus_default__normalised_action_roughness,default__action_saturation_rate,shaped__action_saturation_rate,shaped_minus_default__action_saturation_rate,default__unhealthy_termination_rate,shaped__unhealthy_termination_rate,shaped_minus_default__unhealthy_termination_rate,default__full_horizon_completion_rate,shaped__full_horizon_completion_rate,shaped_minus_default__full_horizon_completion_rate,default__torso_tilt_rms_degrees,shaped__torso_tilt_rms_degrees,shaped_minus_default__torso_tilt_rms_degrees,default__airborne_step_fraction,shaped__airborne_step_fraction,shaped_minus_default__airborne_step_fraction,default__mean_distal_support_count,shaped__mean_distal_support_count,shaped_minus_default__mean_distal_support_count,default__common_default_reward_rescore,shaped__common_default_reward_rescore,shaped_minus_default__common_default_reward_rescore
62401,1.2227471781987527,0.050430443360146945,-1.1723167348386057,2.1452527920547304,0.9495695566398531,-1.1956832354148772,4.382128028256605,2.578403408515826,-1.803724619740779,0.935646518452064,0.933896495197818,-0.0017500232542460026,0.0390224432063784,0.007078117293096968,-0.03194432591328143,0.011327192982456139,0.0,-0.011327192982456139,nan,nan,nan,nan,nan,nan,10.502580272526366,14.583697704951094,4.081117432424728,0.7373228070175438,0.5264,-0.21092280701754385,0.3413333333333333,0.6281,0.28676666666666667,2505.438849481271,1872.3134227389965,-633.1254267422746
62402,0.7349442697060633,0.03606893991181996,-0.6988753297942434,0.2650557302939367,0.96393106008818,0.6988753297942433,30.007096874536124,7.938943932720086,-22.068152941816038,0.4603426708371157,0.9183536183293672,0.4580109474922515,0.03803024303507408,0.0032528326602858466,-0.03477741037478824,0.004863524218040627,0.0,-0.004863524218040627,nan,nan,nan,nan,nan,nan,60.74484197807389,12.415832707470072,-48.32900927060382,0.7161219065081366,0.5610999999999999,-0.15502190650813663,0.34955886067312314,0.5816,0.23204113932687687,659.9146699214723,1916.9275545877529,1257.0128846662806
62403,0.458735071074306,0.03977434426619188,-0.41896072680811414,0.5990904827114502,0.9602256557338082,0.3611351730223581,10.017291629768724,4.304579010772062,-5.712712618996663,0.7941064332832594,0.9098299693506509,0.1157235360673915,0.032092719915605764,0.0019962112281259486,-0.030096508687479814,0.003872139029775617,0.0,-0.003872139029775617,nan,nan,nan,nan,nan,nan,51.390747114961435,11.767295871302439,-39.623451243659,0.6710021405935149,0.3509,-0.32010214059351494,0.40647078082790833,0.9074,0.5009292191720917,1026.5597181608905,1926.8253918184096,900.2656736575191
