resolution,dx_m,dy_m,applied_constraint_scale,height_rmse_m_vs_1025,height_max_abs_m_vs_1025,gradient_rmse_vs_1025,gradient_max_abs_vs_1025,load_median_s,step_median_s,max_adjacent_normal_angle_deg,contact_anomaly_detected,validation_passed
257,0.0625,0.0625,0.22891415617265123,1.0627378261308239e-05,8.353371872665827e-05,0.0004896277423929737,0.00306710785260555,0.005339900031685829,5.901800002902746e-05,0.6513654404441357,True,True
513,0.03125,0.03125,0.22891415617265123,2.113141487908318e-06,1.9521084683761514e-05,0.0002482692403867273,0.0017405004792711834,0.008091400028206408,0.0001298480003606528,0.33196283003511096,True,True
1025,0.015625,0.015625,0.22891415617265123,0.0,0.0,0.0,0.0,0.0159286999842152,0.0002687760000117123,0.16701990767341768,True,True
