#{"t_start": 1787236830.7355611, "env_id": "Ant-v5"}
r,l,t
-25.866321,44,1.58735
-59.55137,34,1.612873
-101.056924,69,1.663176
-27.993704,20,1.678176
-1065.317509,1000,2.409685
-15.981171,31,2.433201
-21.251677,13,2.442201
-20.204067,18,2.455201
-998.502134,1000,3.684892
-28.627759,14,3.695893
-130.543119,86,3.763318
-44.86686,30,3.785326
-6.771494,15,3.796325
-594.972205,600,4.237046
-34.693217,26,4.255053
-38.366879,45,4.287302
-11.401804,13,4.296299
-1063.873892,1000,5.053209
-67.805601,64,5.558042
-113.024147,50,5.60105
-48.429516,85,5.665881
-56.740216,38,5.696882
-82.646949,79,5.75493
-61.285437,36,5.7805
-28.82464,29,5.801507
-13.787375,18,5.815015
-35.475159,26,5.834025
-12.693629,12,5.843815
-26.970045,77,5.90082
-27.717724,30,5.924341
-39.365028,31,5.947342
-196.538157,189,6.082824
-39.236445,54,6.121346
-28.12289,22,6.137347
-1031.937196,1000,6.882358
-50.520482,34,6.907365
-33.595929,73,6.961882
-1.702471,19,6.976882
-182.576844,137,7.547507
-66.462303,62,7.596504
-75.794766,45,7.633015
-112.705962,89,7.706292
-136.592072,113,7.790981
-49.738914,41,7.820506
-22.003398,22,7.836505
-22.36789,23,7.852506
-11.737483,15,7.863506
-11.869891,22,7.878507
-18.806082,18,7.892507
-32.889369,42,7.92203
-44.470664,32,7.94503
-55.614126,37,7.972031
-24.222858,47,8.006039
-26.925479,15,8.017558
-224.145538,155,8.128093
-201.487551,123,8.215221
-21.665267,21,8.230737
-5.834137,17,8.242738
-47.484758,29,8.263878
-36.317195,28,8.283879
-74.054313,97,8.355407
-26.001928,40,8.383407
-32.78404,25,8.402412
-21.011554,23,8.417927
-142.744924,107,8.493929
-48.482757,45,8.52645
-25.638506,34,8.551451
-42.996772,32,8.574453
-4.10189,29,8.595451
-1020.467699,1000,9.817003
-0.719994,19,9.831518
-107.257262,58,9.873519
-31.806011,31,9.896521
-126.113778,94,9.965046
-48.788498,54,10.005053
-72.809029,93,10.076206
-35.027992,19,10.090208
-46.402369,40,10.119728
-34.105116,29,10.142729
-6.787671,16,10.154729
-32.818371,27,10.17573
-18.566319,29,10.20073
-27.746029,34,10.227253
-1013.08756,1000,10.983231
-43.461752,24,11.002232
-75.157295,35,11.02974
-142.231056,116,11.578576
-10.655093,11,11.587576
-939.575482,1000,12.340724
-14.009294,45,12.373725
-39.643576,27,12.393727
-185.033083,115,12.477251
-6.438125,58,12.519766
-42.712805,37,12.548776
-44.299526,22,12.564775
-26.389719,29,12.586777
-7.739933,14,12.596776
-68.685492,38,12.6263
-80.386647,131,12.725714
-9.226624,12,12.734715
-49.654821,29,12.755721
-77.854878,135,12.853366
-14.143224,11,12.862367
-77.930316,45,12.898367
-14.505626,22,12.915373
-9.466322,14,12.92589
-40.45229,47,12.962891
-28.175172,40,12.995893
-13.475503,14,13.007899
-12.160535,10,13.015899
-19.031482,13,13.026415
-24.622033,22,13.043417
-192.171798,104,13.583312
-61.392667,66,13.633825
-132.78614,55,13.67707
-28.381619,25,13.697075
-30.885559,40,13.727598
-86.54982,128,13.824281
-20.113912,22,13.841278
-227.568293,160,13.957801
-18.826404,31,13.980802
-1009.281453,1000,14.724893
-24.705571,21,14.740894
-40.034597,28,14.763169
-34.678329,27,14.783177
-39.271047,30,14.807184
-11.772613,26,14.825699
-75.333522,50,14.863697
-36.299806,39,14.893702
-30.117411,26,14.913709
-38.90499,20,14.929223
-12.895561,27,14.951224
-4.393506,13,14.962226
-25.980429,16,14.975221
-16.990694,11,14.984221
-71.814543,64,15.033746
-91.871626,101,15.570068
-15.632504,35,15.598069
-43.498979,40,15.629599
-14.173516,18,15.644114
-55.798898,53,15.686116
-38.466928,57,15.730649
-63.476517,32,15.755754
-26.5092,27,15.776032
-95.61075,104,15.853119
-24.305704,30,15.875121
-64.590346,58,15.917127
-11.205689,16,15.928728
-51.00077,48,15.963653
-134.024358,100,16.040176
-929.898415,1000,16.776793
-34.873601,19,16.791793
-27.584547,21,16.807799
-5.528531,17,16.822307
-16.107388,16,16.834315
-29.051129,32,16.859315
-12.962052,46,16.894324
-80.106043,65,16.94763
-25.267137,23,16.965626
-19.633212,14,16.97663
-26.167129,28,16.998631
-12.758921,13,17.008639
-41.760538,31,17.033154
-51.174183,23,17.051155
-81.558279,102,17.602843
-30.106905,23,17.620846
-11.984609,24,17.640419
-33.816636,64,17.690428
-128.550784,138,17.795046
-3.846244,11,17.804046
-211.075957,139,17.906569
-21.208505,18,17.920578
-31.924496,43,17.953092
-91.09224,84,18.014105
-20.150176,27,18.034753
-21.420312,13,18.043754
-2.823657,52,18.081754
-53.904567,53,18.119762
-180.728449,130,18.215285
-125.9694,74,18.269328
-8.909562,13,18.279329
-21.52094,20,18.293329
-46.195016,56,18.334853
-949.902521,1000,19.095647
-23.798206,29,19.580641
-60.650586,34,19.606641
-59.105829,49,19.645791
-58.073259,40,19.677792
-38.576762,79,19.741318
-48.115043,52,19.78142
-68.873615,46,19.815432
-115.599014,139,19.914573
-22.308936,16,19.926096
-57.120902,71,19.977173
-47.909432,35,20.005101
-103.984436,102,20.080712
-13.086522,15,20.091719
-37.588376,42,20.122763
-7.369026,49,20.157767
-20.775454,18,20.17177
-27.302746,26,20.189771
-9.429321,14,20.199771
-17.318063,28,20.220778
-35.868899,25,20.238296
-13.676206,14,20.248302
-196.319144,151,20.35802
-23.500664,67,20.406021
-35.589322,45,20.437543
-1053.724751,1000,21.669312
-6.495109,25,21.689316
-105.906112,106,21.771329
3.310413,25,21.789338
-12.19255,15,21.800338
-29.242273,39,21.828861
-160.455192,122,21.917872
-108.065982,152,22.027911
-19.044782,22,22.043912
-67.547061,67,22.090915
-23.560243,44,22.122921
-29.837495,17,22.136435
-4.636839,12,22.144436
-70.557977,94,22.212954
-44.539478,79,22.269593
-5.099399,10,22.276594
-24.600602,23,22.293594
-12.848519,29,22.313601
-58.854472,35,22.339117
-41.054315,58,22.383118
-22.766671,16,22.394121
-14.635282,24,22.412126
-11.302148,9,22.418126
-32.889556,29,22.439641
0.759942,27,22.460642
-29.091074,29,22.481642
-16.326279,16,22.494643
-28.307083,24,22.51265
-6.923217,10,22.52065
-14.858793,24,22.538164
-9.693886,34,22.562164
-81.916722,59,22.606602
