condition_id,target_timesteps,condition_objective_return_mean,condition_objective_return_std,condition_objective_return_min,condition_objective_return_max,base_proxy_return_mean,base_proxy_return_std,base_proxy_return_min,base_proxy_return_max,fixed_horizon_mean_forward_velocity_mean,fixed_horizon_mean_forward_velocity_std,fixed_horizon_mean_forward_velocity_min,fixed_horizon_mean_forward_velocity_max,forward_path_efficiency_mean,forward_path_efficiency_std,forward_path_efficiency_min,forward_path_efficiency_max,net_displacement_direction_error_degrees_mean,net_displacement_direction_error_degrees_std,net_displacement_direction_error_degrees_min,net_displacement_direction_error_degrees_max,torso_tilt_rms_mean,torso_tilt_rms_std,torso_tilt_rms_min,torso_tilt_rms_max,normalised_action_roughness_mean,normalised_action_roughness_std,normalised_action_roughness_min,normalised_action_roughness_max,proposed_normalised_action_roughness_mean,proposed_normalised_action_roughness_std,proposed_normalised_action_roughness_min,proposed_normalised_action_roughness_max,action_saturation_rate_mean,action_saturation_rate_std,action_saturation_rate_min,action_saturation_rate_max,intent_compliant_mean,intent_compliant_std,intent_compliant_min,intent_compliant_max,unhealthy_termination_mean,unhealthy_termination_std,unhealthy_termination_min,unhealthy_termination_max,sustained_inversion_mean,sustained_inversion_std,sustained_inversion_min,sustained_inversion_max
Ftrack__Ar0,100000,73.80287249551247,36.155635846085104,37.24933732905522,109.547018346834,67.91006875214394,29.983672234661967,37.75723687890034,97.72166871182999,0.008193449625233261,0.0049769598336729245,0.002447498249592732,0.011156765102596422,0.10564855336772505,0.1105606881501958,-0.014648946144639774,0.20281148246844088,59.42192814823526,8.456852932286326,52.04894082997184,68.65347861698262,0.3750476039591524,0.15252037335246724,0.2609433410653526,0.5482790243506528,0.021856673005899458,0.0012175642029110647,0.02053060338258695,0.02292420392854607,0.021856673005899458,0.0012175642029110647,0.02053060338258695,0.02292420392854607,0.002169163249502147,0.0009387558604770391,0.00121041584838962,0.0030865610717971197,0.0,0.0,0.0,0.0,0.9666666666666667,0.057735026918962595,0.9,1.0,0.03333333333333333,0.05773502691896258,0.0,0.1
Ftrack__Ar0,200000,874.7521427217853,142.66215577622626,714.6084835826895,988.2604347070262,791.5377555177075,121.99577467776591,651.6091450203247,875.5717804662376,0.06756958724770916,0.024951586123613985,0.04570737079696555,0.09475228828670242,0.14040990135388057,0.07619384662527012,0.06502024994606745,0.2173832531122549,44.091692206537836,8.323839763113826,36.95378754157489,53.2350544761714,0.20891303487163074,0.03870759800575925,0.18536524070775337,0.25358684359307393,0.014106166277767599,0.0007995415853885377,0.013193606706889521,0.0146836608270134,0.014106166277767599,0.0007995415853885377,0.013193606706889521,0.0146836608270134,0.00014292086602928666,7.918000476008731e-05,8.878169790517999e-05,0.00023379629629629003,0.0,0.0,0.0,0.0,0.19999999999999998,0.09999999999999998,0.1,0.3,0.0,0.0,0.0,0.0
Ftrack__Ar0,300000,1024.5955818863767,30.892645035321944,995.5631138667165,1057.0615336598364,1011.231307097562,21.892255111317393,995.0173135365519,1036.134155849957,0.1731822519597641,0.0069937207403238996,0.16525315833897194,0.17847316054515655,0.30956326367950854,0.010408432993679393,0.29756545698650694,0.31617450133171,20.041463138523188,14.523795002108459,6.114883822701164,35.09662604577265,0.27497263262457433,0.19765383180670942,0.1574931748116823,0.5031702323186196,0.01303215658008357,0.00022259810611470934,0.0129035120637923,0.01328919069091864,0.01303215658008357,0.00022259810611470934,0.0129035120637923,0.01328919069091864,4.1666666666666665e-05,1.9094065395649335e-05,2.5e-05,6.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.11547005383792516,0.0,0.2
Ftrack__Ar0,500000,1075.2722831654337,19.903280262836812,1057.4079779512567,1096.726037692088,1184.2272814422042,47.862432262347745,1142.615813299498,1236.531852179762,0.4269349179903234,0.12569979107489523,0.3037361019837241,0.5549946621137585,0.5577161547772874,0.1141800501790191,0.42694946243082343,0.6376644585013418,13.106922991732509,1.2555680307769546,11.808105295804758,14.314234630931395,0.4568107545885352,0.349419555688654,0.19840329104909565,0.8543672634782082,0.013693735029621354,0.00017399530461825627,0.013493988054220371,0.013812322827162691,0.013693735029621354,0.00017399530461825627,0.013493988054220371,0.013812322827162691,0.00010833333333333333,7.324331596352894e-05,2.5e-05,0.00016250000000000002,0.0,0.0,0.0,0.0,0.13333333333333333,0.11547005383792516,0.0,0.2,0.13333333333333333,0.15275252316519466,0.0,0.3
Ftrack__Ar0,750000,1349.3438184591337,200.79999570081537,1126.7593341593567,1516.8743819317574,1520.9226948886953,194.4331353003215,1304.1418390732053,1679.8976018057267,0.7336476628794429,0.14814899688329733,0.5664269380251754,0.8484997788094972,0.7267834377845263,0.0925007432762133,0.6299520729474976,0.8142395171592781,8.690114357522605,2.885181205968579,6.770375224628639,12.007996188038828,0.38179209864138053,0.18444705740920822,0.22797415773656898,0.5862775080579175,0.01681863604318628,0.0025667309991856146,0.01393140535232626,0.018841934254929728,0.01681863604318628,0.0025667309991856146,0.01393140535232626,0.018841934254929728,8.333333333333333e-05,0.0001233220715579062,0.0,0.00022500000000000002,0.0,0.0,0.0,0.0,0.09999999999999999,0.17320508075688773,0.0,0.3,0.10000000000000002,0.1,0.0,0.2
Ftrack__Ar0,1000000,1546.679704487442,305.24354003930466,1201.3273081671573,1780.3674630489083,1650.706855213183,279.1680371377244,1332.4697299628058,1854.307347243599,0.84416399146316,0.1851368700966207,0.631635978778536,0.9704165829834229,0.8094630840796414,0.10471623993684315,0.7226403732237054,0.9257569035591932,6.399925918072508,3.77243026176617,3.0939403091112445,10.509354035134145,0.2836191445022687,0.1756052946719267,0.15705056831646041,0.48409860801521865,0.013890335330791736,0.0056734405815968775,0.00938162223252044,0.020260704231830372,0.013890335330791736,0.0056734405815968775,0.00938162223252044,0.020260704231830372,7.916666666666666e-05,0.00013712068893253612,0.0,0.0002375,0.2333333333333333,0.40414518843273806,0.0,0.7,0.03333333333333333,0.05773502691896258,0.0,0.1,0.03333333333333333,0.05773502691896258,0.0,0.1
Ftrack__Ar0p2,100000,172.91694812956567,94.82464391473107,69.36670133572044,255.50964581869775,170.37016660583615,94.8921882779855,69.69288714395367,258.1599938519972,0.01734186477943647,0.020156799886879996,-0.0036401314343644,0.03655716560017942,0.041237616800294065,0.14879758497651518,-0.13014018457943977,0.1375546965688948,58.05934213199461,16.491888918047692,43.52226004255839,75.98092656012992,0.6201815181434096,0.2855844605381521,0.2904357814020538,0.7881033087076992,0.018236799923079843,0.0019514049822503027,0.01708265999073475,0.02048986277920633,0.018236799923079843,0.0019514049822503027,0.01708265999073475,0.02048986277920633,0.00127379583982849,0.0005453625358313355,0.0007409538304444799,0.0018308710037288102,0.0,0.0,0.0,0.0,0.8666666666666667,0.11547005383792512,0.8,1.0,0.13333333333333333,0.11547005383792516,0.0,0.2
Ftrack__Ar0p2,200000,738.4838056357348,97.49430979066413,626.3752919703987,803.4207036504977,676.5097208401636,105.69893612491116,555.0969878147652,748.0085056368032,0.06237610910012884,0.02727020758037857,0.03953766264740025,0.09256946996837495,0.14980824755943664,0.06865481445013516,0.10064100612882554,0.2282474188221137,29.228559588885066,7.223076090511808,21.849165145977008,36.28444626598573,0.4543426014930865,0.25109688694575566,0.2045495493486384,0.706723322503822,0.013449475246085514,0.001394762260371126,0.01205923811431384,0.01484871901464345,0.013449475246085514,0.001394762260371126,0.01205923811431384,0.01484871901464345,0.00012091009144604333,8.065981542220841e-05,5.003761283851e-05,0.00020868011196197998,0.0,0.0,0.0,0.0,0.43333333333333335,0.15275252316519466,0.3,0.6,0.16666666666666666,0.2081665999466133,0.0,0.4
Ftrack__Ar0p2,300000,1005.0373026726598,34.04987048435448,978.9894374000978,1043.5666311313578,960.5930934736401,44.692822022480385,924.9047863229122,1010.7204762844691,0.13594896986300087,0.05863472160442152,0.07383369223532041,0.19033684209948715,0.2152553018498168,0.07386595302277657,0.13060910494494368,0.2666583247578377,28.671984505143936,18.832376773705306,14.273966896994802,49.98415141303657,0.23766658833644763,0.0893636129922775,0.18270898703006394,0.34078004950332186,0.012694443251594863,0.0027589405230171223,0.01021839218321589,0.015668450104701838,0.012694443251594863,0.0027589405230171223,0.01021839218321589,0.015668450104701838,0.00019583333333333334,0.00015827849927685484,2.5e-05,0.0003375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.05773502691896258,0.0,0.1
Ftrack__Ar0p2,500000,1294.9116604941762,169.2785017136744,1130.0530594954514,1468.2884315465117,1494.3049600559723,220.45075274932606,1246.9027654554668,1669.8968076676697,0.698423979312004,0.20642441200999234,0.4613424064283841,0.8383021442934264,0.7438524415931727,0.13430690034858395,0.5913914250246365,0.844681167321208,5.127838653970426,1.9221316561586756,3.2242770097483473,7.068017120550631,0.23144513093834737,0.03628265981797102,0.20132235931366277,0.2717234827795745,0.012846499620640134,0.0015597100942384254,0.01105298616008917,0.01388530450537782,0.012846499620640134,0.0015597100942384254,0.01105298616008917,0.01388530450537782,0.0003791666666666666,0.0006135620044733322,1.25e-05,0.0010875,0.0,0.0,0.0,0.0,0.06666666666666667,0.05773502691896258,0.0,0.1,0.03333333333333333,0.05773502691896258,0.0,0.1
