condition_id,training_seed,evaluation_seed,action_rate_shaping_weight,episode_steps,net_forward_progress_m,net_lateral_displacement_m,fixed_horizon_forward_velocity_m_per_s,direction_error_degrees,forward_path_efficiency,objective_return,proposed_normalised_action_roughness,applied_normalised_action_roughness,torso_tilt_rms_rad,unhealthy_termination,no_floor_contact_step_fraction,no_foot_contact_step_fraction,prominent_takeoff_count_vz_ge_1p25,max_root_velocity_z_m_per_s,rms_root_velocity_z_m_per_s,rms_root_angular_velocity_rad_per_s,max_raw_floor_force_norm,p95_raw_floor_force_norm,same_side_pair_contact_fraction,diagonal_pair_contact_fraction,front_pair_simultaneous_contact_fraction,exploratory_hopping_dominant_flag
Ftrack__Ar0,41401,51401,0.0,1000,48.4132175522859,4.505781990447802,0.968264351045718,5.317158490878378,0.7792505075183239,1777.5311342363534,0.009498157564976675,0.009498157564976675,0.1561969233186772,False,0.516,0.528,2,1.4271003706399532,0.5526571579596934,1.4117503945678491,209.4972056837645,67.46937138773761,0.104,0.029,0.017,True
Ftrack__Ar0,41402,51401,0.0,1000,39.886689594911935,5.379028146739891,0.7977337918982387,7.680441670038567,0.8201281038757453,1354.554481141501,0.020150073517121277,0.020150073517121277,0.23132459824556534,False,0.513,0.521,23,1.9487117749015848,0.6373797141788954,1.6373244077015863,388.80250928105374,59.07604034534334,0.073,0.031,0.014,True
Ftrack__Ar0,41403,51401,0.0,1000,45.42916955432994,-1.1397327175118583,0.9085833910865988,1.4371422515410985,0.9252775083573275,1629.4350837787251,0.011864284947042317,0.011864284947042319,0.21221589239443206,False,0.568,0.577,23,1.845292614758148,0.6335340038146632,1.833264951937532,301.286241978881,54.737112982109274,0.126,0.012,0.001,True
Ftrack__Ar0p2,41401,51401,0.2,1000,48.92700920177385,-7.296759507534563,0.9785401840354769,8.48232355768097,0.8792655037294629,1865.5975334977975,0.004400973813361406,0.004400973813361406,0.13886064641175655,False,0.496,0.512,1,1.2735446739331442,0.4736925791022161,1.442573178751768,220.0580540773714,57.97712642938021,0.142,0.016,0.001,True
Ftrack__Ar0p2,41402,51401,0.2,1000,43.74829088338202,10.561691161476745,0.8749658176676404,13.572611090191323,0.8147774081028218,1507.5625037408781,0.017401937059723028,0.017401937059723028,0.20530637547906144,False,0.551,0.563,11,1.635496328666374,0.5753884065920225,1.6253881607229506,265.2574288320481,53.42053766421586,0.093,0.04,0.003,True
Ftrack__Ar0p2,41403,51401,0.2,1000,48.646326611658196,-5.261896766828654,0.9729265322331639,6.173474908215732,0.9222961153211287,1834.5854522992704,0.0070949770169137505,0.0070949770169137505,0.23712699301358445,False,0.522,0.532,25,1.8181565809037303,0.7540679489092684,1.4342761545099152,332.38504068423936,48.7932298868747,0.118,0.037,0.006,True
