training_seed,target_timesteps,metric,Ar0p2_minus_Ar0
41402,500000,net_displacement_direction_error_degrees,-9.223012799319093
41402,500000,torso_tilt_rms,-0.5826437806986338
41402,500000,normalised_action_roughness,-0.00017368601102759132
41402,500000,proposed_normalised_action_roughness,-0.00017368601102759132
41402,500000,action_saturation_rate,-0.00015000000000000001
41402,500000,intent_compliant,0.0
41402,500000,unhealthy_termination,0.1
41402,500000,sustained_inversion,-0.19999999999999998
41402,750000,condition_objective_return,137.15549627452037
41402,750000,base_proxy_return,171.3371409014212
41402,750000,fixed_horizon_mean_forward_velocity,0.11862068000843262
41402,750000,forward_path_efficiency,0.09384792605737913
41402,750000,net_displacement_direction_error_degrees,-1.4798715043493882
41402,750000,torso_tilt_rms,-0.2699999611117676
41402,750000,normalised_action_roughness,-0.0012132373496774873
41402,750000,proposed_normalised_action_roughness,-0.0012132373496774873
41402,750000,action_saturation_rate,0.00010199784017278001
41402,750000,intent_compliant,0.0
41402,750000,unhealthy_termination,-0.19999999999999998
41402,750000,sustained_inversion,-0.1
41402,1000000,condition_objective_return,242.0116961861413
41402,1000000,base_proxy_return,281.8411854966778
41402,1000000,fixed_horizon_mean_forward_velocity,0.17154859578666626
41402,1000000,forward_path_efficiency,0.0472238249981195
41402,1000000,net_displacement_direction_error_degrees,6.817791169724458
41402,1000000,torso_tilt_rms,-0.2603628381146545
41402,1000000,normalised_action_roughness,-0.0022809104792414422
41402,1000000,proposed_normalised_action_roughness,-0.0022809104792414422
41402,1000000,action_saturation_rate,8.750000000000004e-05
41402,1000000,intent_compliant,0.0
41402,1000000,unhealthy_termination,-0.1
41402,1000000,sustained_inversion,-0.1
41403,100000,condition_objective_return,156.62515990522365
41403,100000,base_proxy_return,145.5003819426572
41403,100000,fixed_horizon_mean_forward_velocity,-0.01461621695787503
41403,100000,forward_path_efficiency,-0.33295166704788065
41403,100000,net_displacement_direction_error_degrees,23.931985730158075
41403,100000,torso_tilt_rms,0.46608501785902406
41403,100000,normalised_action_roughness,-0.005841543937811319
41403,100000,proposed_normalised_action_roughness,-0.005841543937811319
41403,100000,action_saturation_rate,-0.00037964182459088993
41403,100000,intent_compliant,0.0
41403,100000,unhealthy_termination,-0.19999999999999996
41403,100000,sustained_inversion,0.2
41403,200000,condition_objective_return,88.8122200678082
41403,200000,base_proxy_return,74.81452404859795
41403,200000,fixed_horizon_mean_forward_velocity,-0.007227907974848145
41403,200000,forward_path_efficiency,-0.09684693538488424
41403,200000,net_displacement_direction_error_degrees,-12.53416724717475
41403,200000,torso_tilt_rms,0.19816808903372518
41403,200000,normalised_action_roughness,-0.0026244227126995603
41403,200000,proposed_normalised_action_roughness,-0.0026244227126995603
41403,200000,action_saturation_rate,-0.00012978374675865005
41403,200000,intent_compliant,0.0
41403,200000,unhealthy_termination,0.0
41403,200000,sustained_inversion,0.1
41403,300000,condition_objective_return,48.00351726464123
41403,300000,base_proxy_return,8.17802437829232
41403,300000,fixed_horizon_mean_forward_velocity,0.014516405104323282
41403,300000,forward_path_efficiency,-0.04829150796247106
41403,300000,net_displacement_direction_error_degrees,-13.33879084037222
41403,300000,torso_tilt_rms,-0.32046124528855563
41403,300000,normalised_action_roughness,-0.0007072795186729083
41403,300000,proposed_normalised_action_roughness,-0.0007072795186729083
41403,300000,action_saturation_rate,0.00016250000000000002
41403,300000,intent_compliant,0.0
41403,300000,unhealthy_termination,0.0
41403,300000,sustained_inversion,-0.2
41403,500000,condition_objective_return,396.6055976935554
41403,500000,base_proxy_return,496.36262882031724
41403,500000,fixed_horizon_mean_forward_velocity,0.41622815441993877
41403,500000,forward_path_efficiency,0.2361466239215112
41403,500000,net_displacement_direction_error_degrees,-8.583828286056411
41403,500000,torso_tilt_rms,-0.09637215851649697
41403,500000,normalised_action_roughness,-0.0024410018941312013
41403,500000,proposed_normalised_action_roughness,-0.0024410018941312013
41403,500000,action_saturation_rate,0.0009499999999999999
41403,500000,intent_compliant,0.0
41403,500000,unhealthy_termination,-0.2
41403,500000,sustained_inversion,-0.1
41403,750000,condition_objective_return,263.8563244152899
41403,750000,base_proxy_return,210.25174855019281
41403,750000,fixed_horizon_mean_forward_velocity,0.15994035624746084
41403,750000,forward_path_efficiency,0.10553122780390323
41403,750000,net_displacement_direction_error_degrees,-4.625393819459448
41403,750000,torso_tilt_rms,0.03413005649027895
41403,750000,normalised_action_roughness,-0.006614217068266509
41403,750000,proposed_normalised_action_roughness,-0.006614217068266509
41403,750000,action_saturation_rate,-0.0001875
41403,750000,intent_compliant,0.4
41403,750000,unhealthy_termination,0.0
41403,750000,sustained_inversion,0.0
41403,1000000,condition_objective_return,170.37334556870633
41403,1000000,base_proxy_return,105.91520611120973
41403,1000000,fixed_horizon_mean_forward_velocity,0.04246127053294657
41403,1000000,forward_path_efficiency,-0.006400000849101972
41403,1000000,net_displacement_direction_error_degrees,3.226651127143868
41403,1000000,torso_tilt_rms,0.029330102728364782
41403,1000000,normalised_action_roughness,-0.004928311788853639
41403,1000000,proposed_normalised_action_roughness,-0.004928311788853639
41403,1000000,action_saturation_rate,0.0
41403,1000000,intent_compliant,-0.49999999999999994
41403,1000000,unhealthy_termination,0.0
41403,1000000,sustained_inversion,0.0
