episode,checkpoint_fraction,target_timesteps,actual_model_timesteps,condition_id,ctrl_cost_weight,forward_progress_shaping_weight,lateral_drift_shaping_weight,lateral_drift_shaping_scale,lateral_shaping_signal,lateral_velocity_target,orientation_shaping_weight,orientation_shaping_scale,orientation_shaping_function,replace_forward_reward_with_tracking,forward_velocity_target,forward_velocity_tracking_scale,forward_velocity_tracking_weight,action_rate_shaping_weight,vertical_velocity_shaping_weight,vertical_velocity_shaping_scale,roll_pitch_angular_velocity_shaping_weight,roll_pitch_angular_velocity_shaping_scale,foot_landing_height_threshold,foot_lateral_velocity_shaping_weight,foot_lateral_velocity_shaping_scale,foot_vertical_velocity_shaping_weight,foot_vertical_velocity_shaping_scale,pitch_balance_shaping_weight,foot_geom_names,training_seed,seed,condition_objective_return,common_rescore_ctrl_cost_weight,common_rescored_return,proxy_return,base_proxy_return,reward_shaping_sum,reward_forward_shaping_sum,reward_lateral_shaping_sum,reward_effort_shaping_sum,reward_orientation_shaping_sum,orientation_penalty_sum,reward_forward_sum,reward_ctrl_sum,reward_contact_sum,reward_survive_sum,base_reward_reconciliation_error,ctrl_cost_reconciliation_error,net_forward_progress,net_forward_progress_per_step,environment_dt,episode_duration_seconds,mean_forward_velocity,evaluation_horizon_steps,fixed_horizon_duration_seconds,fixed_horizon_mean_forward_velocity,net_displacement_direction_error_rad,net_displacement_direction_error_degrees,cumulative_squared_action,mean_squared_action_per_step,action_saturation_rate,cumulative_squared_action_change,mean_squared_action_change_per_transition,normalised_action_roughness,action_change_transition_count,effort_distance_min,effort_per_distance_defined,cumulative_squared_action_per_unit_distance,control_effort,control_effort_per_unit_distance,unhealthy_termination,termination_category,low_z_termination,high_z_termination,non_finite_termination,other_unhealthy_termination,time_limit_truncation,fall,lateral_drift_final_abs,lateral_drift_mean_abs,lateral_drift_max_abs,cumulative_lateral_path,cumulative_planar_path,forward_path_efficiency,torso_tilt_mean,torso_tilt_std,torso_tilt_rms,torso_tilt_p95,torso_tilt_max,inversion_tilt_threshold_rad,inverted_step_fraction,longest_inverted_run_steps,longest_inverted_run_seconds,sustained_inversion_seconds,sustained_inversion,full_horizon_completed,intent_compliant,intent_failure_reasons,episode_length,terminated,truncated,action_observation_augmented,action_constraint_enabled,action_slew_l2_limit,action_slew_intervention_count,action_slew_intervention_rate,cumulative_action_correction_l2,mean_action_correction_l2,max_action_correction_l2,cumulative_proposed_squared_action_change,proposed_action_change_transition_count,proposed_normalised_action_roughness,effort_shaping_weight,effort_shaping_scale,reward_forward_tracking_sum,reward_forward_replacement_sum,reward_action_rate_shaping_sum,action_rate_penalty_sum,reward_vertical_velocity_shaping_sum,vertical_velocity_penalty_sum,reward_roll_pitch_angular_velocity_shaping_sum,roll_pitch_angular_velocity_penalty_sum,foot_landing_active_count_sum,foot_landing_active_count_by_foot,foot_contact_step_count_by_foot,foot_contact_transition_count_by_foot,foot_contact_duty_fraction_by_foot,longest_foot_no_contact_run_steps_by_foot,longest_foot_no_contact_run_seconds_by_foot,support_count_step_counts_0_to_4,support_count_step_fractions_0_to_4,support_mask_step_counts_0_to_15,foot_sampled_normal_force_time_integral_n_s_by_foot,foot_sampled_tangential_force_time_integral_n_s_by_foot,foot_contact_slip_distance_m_by_foot,foot_contact_slip_speed_max_m_per_s_by_foot,airborne_step_count,airborne_step_fraction,longest_airborne_run_steps,longest_airborne_run_seconds,airborne_shaping_weight,reward_airborne_shaping_sum,foot_contact_gap_shaping_weight,foot_contact_gap_grace_seconds,foot_contact_gap_scale_seconds,reward_foot_contact_gap_shaping_sum,foot_contact_gap_penalty_sum,foot_contact_gap_penalty_sum_by_foot,actuator_joint_names,actuator_abs_torque_time_integral_n_m_s_by_actuator,actuator_positive_mechanical_work_j_by_actuator,actuator_negative_mechanical_work_abs_j_by_actuator,actuator_abs_mechanical_work_j_by_actuator,reward_foot_lateral_velocity_shaping_sum,foot_lateral_velocity_penalty_sum,foot_lateral_velocity_penalty_sum_by_foot,reward_foot_vertical_velocity_shaping_sum,foot_vertical_velocity_penalty_sum,foot_vertical_velocity_penalty_sum_by_foot,reward_pitch_balance_shaping_sum,pitch_balance_event_completed_count,pitch_balance_event_score_sum,pitch_balance_event_score_mean,pitch_balance_positive_time_seconds,pitch_balance_negative_time_seconds,pitch_balance_neutral_time_seconds
1,1.0,4096,4096,D0_DEFAULT_REWARD,0.5,0.0,0.0,1.0,velocity_tanh_squared,0.0,0.0,1.0,cosine,False,1.0,0.5,0.0,0.0,0.0,1.014092584749083,0.0,1.9893176307304792,0.03,0.0,1.0,0.0,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",62401,72401,1000.1784333527793,0.5,1000.1784333527789,1000.1784333527793,1000.1784333527793,0.0,0.0,0.0,0.0,0.0,10.730995076666384,10.281331053935805,-4.92169016730364,-5.1812075338532875,1000.0,3.410605131648481e-13,0.0,0.5140663713808035,0.0005140663713808035,0.05,50.0,0.010281327427616069,1000,50.0,0.010281327427616069,0.7234967945993475,41.45331282178602,9.84338033460728,0.00984338033460728,0.0,3.5422063540316677,0.0035457521061378057,0.00011080475331680643,999,1e-08,True,19.148072861034567,9.84338033460728,19.148072861034567,False,none,False,False,False,False,True,False,0.45406128274491575,0.42963616328765003,0.5329292523435624,2.7644806117592524,4.240535909479574,0.12122674641939138,0.20686978602970016,0.016914566261595033,0.20756013808964335,0.21870156512948247,0.2505893563429268,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,1000,False,True,True,False,nan,0,0.0,0.0,0.0,0.0,3.5422063540316677,999,0.00011080475331680643,0.0,1.0,0.0,0.0,0.0,0.11069394856348962,0.0,9.740383757088045,0.0,15.263446803531462,2924,"[944, 985, 5, 990]","[817, 881, 1, 875]","[67, 56, 1, 68]","[0.817, 0.881, 0.001, 0.875]","[20, 11, 986, 6]","[1.0, 0.55, 49.300000000000004, 0.30000000000000004]","[29, 88, 163, 720, 0]","[0.029, 0.088, 0.163, 0.72, 0.0]","[29, 23, 35, 37, 1, 0, 0, 0, 29, 37, 89, 720, 0, 0, 0, 0]","[91.44627805946492, 183.8789837307128, 1.0855444017799407, 155.3815345974437]","[54.91548357242871, 71.89925146679519, 0.9219325657162609, 66.56504630700988]","[1.3785221321347896, 2.5466328016387, 0.011143117281235583, 1.455838560886001]","[0.6918265780975863, 1.3975604242121102, 0.22286234562471163, 0.8012247436898298]",29,0.029,4,0.2,0.0,0.0,0.0,0.5,0.5,0.0,242.4150074773446,"[3.0163424358660573, 0.00993370915256024, 966.6337537643599, 0.0]","['hip_4', 'ankle_4', 'hip_1', 'ankle_1', 'hip_2', 'ankle_2', 'hip_3', 'ankle_3']","[216.79623359930702, 199.42051581689157, 392.5119839364197, 155.26607188861817, 115.38649093941785, 304.29141467961017, 141.5014851372689, 192.77983848529402]","[53.968717646471404, 4.485381462976452, 5.405643251958432, 7.767323467471869, 47.90893308584553, 70.13626620764646, 121.50575987655563, 37.11959529634885]","[5.137016217204531, 6.620468392961609, 0.4083260061870113, 14.761394808685681, 5.743966524297964, 2.644413933405435, 5.359288582943108, 4.263620403417314]","[59.10573386367594, 11.105849855938061, 5.813969258145444, 22.52871827615755, 53.65289961014349, 72.78068014105189, 126.86504845949874, 41.38321569976616]",0.0,52.17395013385546,"[7.013780122415628, 30.272757808787723, 3.511200831923807, 11.376211370728342]",0.0,10.634052893025974,"[2.613886467863039, 2.6272901714263632, 2.2832374933564075, 3.1096387603801676]",0.0,2,0.6222222222222222,0.3111111111111111,41.400000000000006,1.1,0.0
2,1.0,4096,4096,D0_DEFAULT_REWARD,0.5,0.0,0.0,1.0,velocity_tanh_squared,0.0,0.0,1.0,cosine,False,1.0,0.5,0.0,0.0,0.0,1.014092584749083,0.0,1.9893176307304792,0.03,0.0,1.0,0.0,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",62401,72402,1081.1516034743636,0.5,1081.1516034743638,1081.1516034743636,1081.1516034743636,0.0,0.0,0.0,0.0,0.0,7.61595231591146,93.72067916892985,-8.507604783647302,-4.061470910918562,1000.0,-2.2737367544323206e-13,0.0,4.6860339584464885,0.004686033958446489,0.05,50.0,0.09372067916892977,1000,50.0,0.09372067916892977,0.5724480559243869,32.79885759493629,17.015209567294605,0.017015209567294604,0.0,7.067309891388689,0.007074384275664353,0.00022107450861451103,999,1e-08,True,3.6310470043916365,17.015209567294605,3.6310470043916365,False,none,False,False,False,False,True,False,3.0198105710712793,1.1578877648612034,3.0343404910960046,11.94046007488226,16.28972509671916,0.28766808099114466,0.16573807780587338,0.05563063169412241,0.17482527739852963,0.22291111716983478,0.3245813836926574,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,1000,False,True,True,False,nan,0,0.0,0.0,0.0,0.0,7.067309891388689,999,0.00022107450861451103,0.0,1.0,0.0,0.0,0.0,0.22085343410589653,0.0,28.284497838707665,0.0,61.28093292599451,2736,"[819, 867, 184, 866]","[495, 636, 96, 582]","[127, 126, 40, 123]","[0.495, 0.636, 0.096, 0.582]","[23, 56, 276, 31]","[1.1500000000000001, 2.8000000000000003, 13.8, 1.55]","[96, 262, 379, 263, 0]","[0.096, 0.262, 0.379, 0.263, 0.0]","[96, 56, 97, 88, 25, 47, 5, 4, 84, 41, 189, 253, 9, 6, 0, 0]","[98.37267639501293, 151.1955754457296, 38.28636718887242, 144.85823387158894]","[67.24556432735503, 105.43464832051772, 30.089941787705385, 92.65608064025143]","[3.5577410757053127, 4.910618586370102, 1.7078996529080868, 3.359560933389441]","[1.6840173768115616, 3.5624827645968775, 2.808034205599338, 1.9517249652189461]",96,0.096,5,0.25,0.0,0.0,0.0,0.5,0.5,0.0,185.74914905206748,"[22.871876371716816, 46.55163062839346, 653.8873642447851, 19.685724963375545]","['hip_4', 'ankle_4', 'hip_1', 'ankle_1', 'hip_2', 'ankle_2', 'hip_3', 'ankle_3']","[352.00177197461016, 193.18766939104535, 232.33805924712215, 189.3844266619999, 286.70943568926305, 270.0363502037362, 388.35442524170503, 222.6302324119024]","[244.05316148008885, 39.39548413738611, 73.0901679116938, 68.32838303399396, 329.3602311178256, 132.8892608763056, 616.497400040507, 189.31611427849018]","[15.2101683426698, 10.593543622870875, 5.782693742390941, 22.04267583601335, 17.032924726215892, 10.454785854406312, 22.30396872575167, 9.535540731546575]","[259.26332982275864, 49.98902776025699, 78.87286165408474, 90.3710588700073, 346.3931558440415, 143.3440467307119, 638.8013687662587, 198.85165501003675]",0.0,201.67906204779916,"[49.406763827741266, 65.65992509049356, 32.980263592909616, 53.63210953665485]",0.0,44.4022926498144,"[11.461104697377664, 10.189668344995717, 12.962883544954257, 9.788636062486724]",0.0,13,7.054257390592465,0.542635183891728,37.9,7.6000000000000005,0.0
1,1.0,4096,4096,S1_STAGE1_SHAPED,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.1,1.0,cosine,True,1.0,0.5,0.5,0.2,0.05,1.014092584749083,0.05,1.9893176307304792,0.03,0.025,1.0,0.025,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",62401,72401,979.3157938814614,0.5,968.8914924012053,979.3157938814614,968.891492401204,10.424301480255318,0.0,-0.11802553383291293,0.0,-0.0216835236477971,0.21683523647797015,-1.760463842163843,-23.56492538508233,-5.783118371548538,1000.0,-1.2505552149377763e-12,0.0,-0.08802319210821004,-8.802319210821004e-05,0.05,50.0,-0.0017604638421642007,1000,50.0,-0.0017604638421642007,1.5707962841811758,89.99999755841365,47.12985077016466,0.047129850770164655,0.0,2.2016530748320826,0.0022038569317638463,6.88705291176202e-05,999,1e-08,False,nan,47.12985077016466,nan,False,none,False,False,False,False,True,False,0.23466620153307183,0.22815034881931767,0.2984416032772821,0.8486899457416768,1.2387470177684856,-0.0710582474432734,0.0062937300909952695,0.028806688041883514,0.029486205493428515,0.03411673583397057,0.2264472011228919,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,1000,False,True,True,False,nan,0,0.0,0.0,0.0,0.0,2.2016530748320826,999,6.88705291176202e-05,0.0,1.0,10.162412130994836,11.922875973158696,-0.01376033171770056,0.06880165858850258,-0.21775815770562645,4.355163154112529,-0.335125131948403,6.702502638968064,3896,"[966, 982, 966, 982]","[917, 949, 927, 938]","[22, 22, 17, 28]","[0.917, 0.949, 0.927, 0.938]","[17, 13, 13, 9]","[0.8500000000000001, 0.65, 0.65, 0.45]","[9, 35, 50, 28, 878]","[0.009, 0.035, 0.05, 0.028, 0.878]","[9, 5, 15, 1, 4, 14, 5, 9, 11, 0, 28, 4, 2, 6, 9, 878]","[111.76463961422918, 111.20338156268586, 110.87880287785059, 114.95669678092253]","[9.385513853481765, 10.26414386114549, 8.607263812018994, 13.808505570143677]","[0.33647684455600235, 0.32684310317416215, 0.25682225325313507, 0.679697969208238]","[0.6645241359901497, 0.7846898714263473, 0.9563527270930007, 1.431113798210413]",9,0.009,3,0.15000000000000002,0.0,0.0,0.0,0.5,0.5,0.0,0.38913622374375806,"[1.1552836018955885, 0.13375376435981454, 0.2675075287196291, 0.0]","['hip_4', 'ankle_4', 'hip_1', 'ankle_1', 'hip_2', 'ankle_2', 'hip_3', 'ankle_3']","[280.90831546112895, 350.35130188800395, 1157.4487237120047, 279.0698491089279, 427.0472148852423, 498.853707422968, 267.0576738403179, 675.4333000467159]","[24.334030781584666, 31.18584215572203, 12.82135408210175, 15.222916657999505, 30.766347033231735, 3.524579424683802, 22.48387470673554, 7.83953632146895]","[3.8377620022740406, 1.5847043906960119, 1.1002523609443964, 6.477032853934694, 2.185279177191012, 2.500945590843377, 5.238363393644914, 2.1349168437095503]","[28.171792783858706, 32.77054654641804, 13.921606443046148, 21.6999495119342, 32.951626210422745, 6.02552501552718, 27.722238100380455, 9.9744531651785]",-0.5927321477686306,23.709285910745223,"[4.6020677448361935, 3.7881969291616633, 6.175708040869223, 9.14331319587814]",-0.19948966628230583,7.979586651292228,"[2.2226914297954585, 0.7769393474634875, 3.3205796679809287, 1.659376206052358]",0.0,3,0.5768115942028985,0.19227053140096617,4.4,0.7000000000000001,0.0
2,1.0,4096,4096,S1_STAGE1_SHAPED,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.1,1.0,cosine,True,1.0,0.5,0.5,0.2,0.05,1.014092584749083,0.05,1.9893176307304792,0.03,0.025,1.0,0.025,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",62401,72402,985.4893695894614,0.5,977.0521356916056,985.4893695894614,977.0521356916038,8.437233897855124,0.0,-0.09986936555754787,0.0,-0.02521023559495359,0.25210235594953734,0.47363254904286733,-18.747600236486804,-4.673896620950525,1000.0,-1.8189894035458565e-12,0.0,0.02368162745210654,2.368162745210654e-05,0.05,50.0,0.0004736325490421308,1000,50.0,0.0004736325490421308,1.2962110314201467,74.26742145867375,37.49520047297361,0.037495200472973604,0.0,1.9792930407640368,0.001981274315079116,6.191482234622237e-05,999,1e-08,True,1583.3033666627634,37.49520047297361,1583.3033666627634,False,none,False,False,False,False,True,False,0.08406655178736232,0.0842355244144562,0.16617707992305164,0.7778845165647668,0.9473772017226844,0.024997041736960237,0.006315615525803596,0.031170960960442726,0.031804336287167126,0.011571959703445156,0.24786908503360278,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,1000,False,True,True,False,nan,0,0.0,0.0,0.0,0.0,1.9792930407640368,999,6.191482234622237e-05,0.0,1.0,10.04064113286426,9.567008583821403,-0.012370581504775031,0.06185290752387615,-0.13923286132466436,2.784657226493285,-0.3021506298155652,6.043012596311305,3917,"[979, 987, 972, 979]","[933, 959, 932, 959]","[20, 19, 17, 13]","[0.933, 0.959, 0.932, 0.959]","[13, 20, 17, 15]","[0.65, 1.0, 0.8500000000000001, 0.75]","[10, 17, 52, 22, 899]","[0.01, 0.017, 0.052, 0.022, 0.899]","[10, 2, 3, 3, 8, 10, 0, 5, 4, 3, 35, 8, 1, 3, 6, 899]","[110.29334878851229, 114.35432568532399, 111.15101234953416, 115.39010205470753]","[8.269608683495324, 10.408307768120354, 7.207048837606593, 11.300229876640824]","[0.3440816569614893, 0.2633787487054113, 0.17372674464204088, 0.26349687048777587]","[1.2368659896793877, 1.559914276627539, 0.3969273285214545, 0.5489332319860232]",10,0.01,3,0.15000000000000002,0.0,0.0,0.0,0.5,0.5,0.0,1.1125434811659924,"[0.13375376435981454, 2.6794030222484166, 1.1453498927430283, 0.49166724531270956]","['hip_4', 'ankle_4', 'hip_1', 'ankle_1', 'hip_2', 'ankle_2', 'hip_3', 'ankle_3']","[268.8002237332694, 330.1942271995358, 997.9653827380389, 272.7638684021076, 237.04021710902452, 501.3336496031843, 216.66797448182479, 670.636308460962]","[14.366884013663867, 27.14355557960316, 9.497637233447449, 11.286539382913347, 22.57861185880419, 8.380330386672604, 11.484275775852783, 8.941841050491202]","[2.5179998194371374, 1.5293136667091347, 0.46691641672395745, 8.688600984664365, 2.2930198293253183, 2.951060512372517, 2.920461299074885, 0.9650528192894591]","[16.884883833101004, 28.672869246312295, 9.964553650171407, 19.975140367577712, 24.871631688129508, 11.331390899045122, 14.404737074927668, 9.906893869780662]",-0.39720775371495803,15.888310148598322,"[5.883998117160192, 6.749782450793543, 1.180954436805402, 2.0735751438391836]",-0.15373325845380417,6.149330338152166,"[1.0047440482438375, 2.3222077527054, 2.155120988581046, 0.6672575486218866]",0.0,3,1.4705882352941178,0.4901960784313726,48.35,1.1500000000000001,0.0
