condition_id,ctrl_cost_weight,forward_progress_shaping_weight,lateral_drift_shaping_weight,orientation_shaping_weight,orientation_shaping_function,action_observation_augmented,action_constraint_enabled,action_slew_l2_limit,checkpoint_fraction,target_timesteps,episodes,condition_objective_return_mean,common_rescored_return_mean,proxy_return_mean,base_proxy_return_mean,reward_shaping_sum_mean,reward_forward_shaping_sum_mean,reward_lateral_shaping_sum_mean,reward_orientation_shaping_sum_mean,reward_forward_tracking_sum_mean,reward_forward_replacement_sum_mean,reward_action_rate_shaping_sum_mean,action_rate_penalty_sum_mean,reward_pitch_balance_shaping_sum_mean,pitch_balance_event_completed_count_mean,pitch_balance_event_score_sum_mean,pitch_balance_event_score_mean_mean,pitch_balance_positive_time_seconds_mean,pitch_balance_negative_time_seconds_mean,pitch_balance_neutral_time_seconds_mean,orientation_penalty_sum_mean,net_forward_progress_mean,net_forward_progress_per_step_mean,episode_duration_seconds_mean,mean_forward_velocity_mean,fixed_horizon_mean_forward_velocity_mean,net_displacement_direction_error_rad_mean,net_displacement_direction_error_degrees_mean,cumulative_squared_action_mean,mean_squared_action_per_step_mean,action_saturation_rate_mean,cumulative_squared_action_change_mean,mean_squared_action_change_per_transition_mean,normalised_action_roughness_mean,action_change_transition_count_mean,effort_per_distance_defined_mean,cumulative_squared_action_per_unit_distance_mean,control_effort_per_unit_distance_mean,unhealthy_termination_mean,fall_mean,low_z_termination_mean,high_z_termination_mean,non_finite_termination_mean,time_limit_truncation_mean,lateral_drift_final_abs_mean,lateral_drift_mean_abs_mean,lateral_drift_max_abs_mean,cumulative_lateral_path_mean,cumulative_planar_path_mean,forward_path_efficiency_mean,torso_tilt_mean_mean,torso_tilt_std_mean,torso_tilt_rms_mean,torso_tilt_p95_mean,torso_tilt_max_mean,inverted_step_fraction_mean,longest_inverted_run_seconds_mean,sustained_inversion_mean,full_horizon_completed_mean,intent_compliant_mean,action_slew_intervention_count_mean,action_slew_intervention_rate_mean,cumulative_action_correction_l2_mean,mean_action_correction_l2_mean,max_action_correction_l2_mean,cumulative_proposed_squared_action_change_mean,proposed_action_change_transition_count_mean,proposed_normalised_action_roughness_mean,episode_length_mean
S1_STAGE1_SHAPED,0.5,0.0,0.025,0.1,cosine,True,False,nan,0.25,250000,10,924.4168036468405,957.4976856161069,924.4168036468405,957.4976856161069,-33.0808819692666,0.0,-2.8925108966589357,-0.6209964817694893,67.39654936301903,4.030853991372929,-1.810334324245471,9.051671621227358,0.0,57.6,18.46936635158474,0.32197451013605394,9.014999999999999,33.894999999999996,0.0,6.209964817694894,3.16826596803418,0.0031682659680341797,50.0,0.0633653193606836,0.0633653193606836,0.34812697981472285,19.946206678019625,207.25682058914458,0.20725682058914457,0.0,289.65349187927546,0.2899434353145901,0.00906073235358094,999.0,1.0,106.68447911617329,106.68447911617329,0.0,0.0,0.0,0.0,0.0,1.0,1.1112535135995163,0.9104675865316715,1.7899300615394125,13.629053916970264,22.96311254099525,0.13753793002831277,0.1358405689652781,0.08035224805283056,0.1578433729560792,0.27196303123897364,0.41594995093698206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,289.65349187927546,999.0,0.00906073235358094,1000.0
S1_STAGE1_SHAPED,0.5,0.0,0.025,0.1,cosine,True,False,nan,0.5,500000,10,1115.102592420273,1655.6125137901338,1115.102592420273,1655.6125137901338,-540.5099213698604,0.0,-5.940160504327704,-1.123845862007537,268.2423305431254,-477.9938039716393,-1.359202991706678,6.7960149585333935,0.0,72.6,12.329562594500068,0.16985049691446186,3.6,39.62500000000001,0.0,11.238458620075372,37.31165258052976,0.037311652580529764,50.0,0.7462330516105953,0.7462330516105953,0.23375377869609243,13.393104964521148,178.2186497352327,0.17821864973523274,0.0,217.4724786730686,0.21769016884191045,0.0068028177763097015,999.0,1.0,4.7849811631492996,4.7849811631492996,0.0,0.0,0.0,0.0,0.0,1.0,8.84855897211744,4.088135438273261,9.159034178645502,21.619583426511927,47.933036802126225,0.7781378397068199,0.19656357196032628,0.08102167887654516,0.2126188068415252,0.33803106927852977,0.4982510701019831,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,217.4724786730686,999.0,0.0068028177763097015,1000.0
S1_STAGE1_SHAPED,0.5,0.0,0.025,0.1,cosine,True,False,nan,0.75,750000,10,1301.8281193288224,1860.2270988022767,1301.8281193288224,1860.227098802277,-558.3989794734546,0.0,-6.039699224300696,-1.2124250663759812,438.7833766900302,-495.23698494051416,-0.9912698215876551,4.956349107938275,0.0,66.3,1.0253090210443152,0.015393474454707849,0.265,43.295,0.0,12.124250663759815,46.7010340421986,0.046701034042198594,50.0,0.934020680843972,0.934020680843972,0.07435629977950337,4.260302157575076,145.1364434358233,0.14513644343582333,0.0,158.6031714540248,0.15876193338741218,0.004961310418356631,999.0,1.0,3.1084680048455753,3.1084680048455753,0.0,0.0,0.0,0.0,0.0,1.0,3.4708526060008182,2.245988496015115,4.0296611186293845,22.1192049740263,53.65206906326995,0.8703947621523728,0.21195604759208586,0.06170838561031946,0.22076325172277994,0.3050185046215706,0.3912077367306971,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,158.6031714540248,999.0,0.004961310418356631,1000.0
S1_STAGE1_SHAPED,0.5,0.0,0.025,0.1,cosine,True,False,nan,1.0,1000000,10,1366.2003836421704,1916.9275545877529,1366.2003836421704,1916.9275545877529,-550.7271709455829,0.0,-4.019813141624013,-1.1684050749863084,468.9489796730214,-494.98158046209517,-0.6499159655251123,3.249579827625561,0.0,63.1,0.7403151818941293,0.011811728499432649,0.16,43.565,0.0,11.684050749863077,48.196553004409004,0.048196553004409004,50.0,0.96393106008818,0.96393106008818,0.1385607107571927,7.938943932720086,91.21233742280151,0.09121233742280152,0.0,103.98655448401796,0.10409064512914709,0.0032528326602858466,999.0,1.0,1.8927596764462304,1.8927596764462304,0.0,0.0,0.0,0.0,0.0,1.0,6.718951415034395,2.947225572656612,6.762173759364598,17.623497939149342,52.48037944738326,0.9183536183293672,0.20871819821389206,0.05825296614758051,0.21669716012215473,0.28738001744319897,0.3612580122925834,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,103.98655448401796,999.0,0.0032528326602858466,1000.0
