episode,checkpoint_fraction,target_timesteps,actual_model_timesteps,condition_id,reward_id,constraint_id,ctrl_cost_weight,common_rescore_ctrl_cost_weight,forward_progress_shaping_weight,lateral_drift_shaping_weight,lateral_drift_shaping_scale,lateral_shaping_signal,lateral_velocity_target,effort_shaping_weight,effort_shaping_scale,orientation_shaping_weight,orientation_shaping_scale,orientation_shaping_function,replace_forward_reward_with_tracking,forward_velocity_target,forward_velocity_tracking_scale,forward_velocity_tracking_weight,reward_forward_tracking_sum,reward_forward_replacement_sum,action_rate_shaping_weight,reward_action_rate_shaping_sum,action_rate_penalty_sum,vertical_velocity_shaping_weight,vertical_velocity_shaping_scale,reward_vertical_velocity_shaping_sum,vertical_velocity_penalty_sum,roll_pitch_angular_velocity_shaping_weight,roll_pitch_angular_velocity_shaping_scale,reward_roll_pitch_angular_velocity_shaping_sum,roll_pitch_angular_velocity_penalty_sum,foot_geom_names,foot_landing_height_threshold,foot_landing_active_count_sum,foot_landing_active_count_by_foot,foot_lateral_velocity_shaping_weight,foot_lateral_velocity_shaping_scale,reward_foot_lateral_velocity_shaping_sum,foot_lateral_velocity_penalty_sum,foot_lateral_velocity_penalty_sum_by_foot,foot_vertical_velocity_shaping_weight,foot_vertical_velocity_shaping_scale,reward_foot_vertical_velocity_shaping_sum,foot_vertical_velocity_penalty_sum,foot_vertical_velocity_penalty_sum_by_foot,pitch_balance_shaping_weight,reward_pitch_balance_shaping_sum,pitch_balance_event_completed_count,pitch_balance_event_score_sum,pitch_balance_event_score_mean,pitch_balance_positive_time_seconds,pitch_balance_negative_time_seconds,pitch_balance_neutral_time_seconds,training_seed,seed,condition_objective_return,common_rescored_return,proxy_return,base_proxy_return,reward_shaping_sum,reward_forward_shaping_sum,reward_lateral_shaping_sum,reward_effort_shaping_sum,reward_orientation_shaping_sum,orientation_penalty_sum,reward_forward_sum,reward_ctrl_sum,reward_contact_sum,reward_survive_sum,base_reward_reconciliation_error,ctrl_cost_reconciliation_error,net_forward_progress,net_forward_progress_per_step,environment_dt,episode_duration_seconds,mean_forward_velocity,evaluation_horizon_steps,fixed_horizon_duration_seconds,fixed_horizon_mean_forward_velocity,net_displacement_direction_error_rad,net_displacement_direction_error_degrees,cumulative_squared_action,mean_squared_action_per_step,action_saturation_rate,cumulative_squared_action_change,mean_squared_action_change_per_transition,normalised_action_roughness,action_change_transition_count,effort_distance_min,effort_per_distance_defined,cumulative_squared_action_per_unit_distance,control_effort,control_effort_per_unit_distance,unhealthy_termination,termination_category,low_z_termination,high_z_termination,non_finite_termination,other_unhealthy_termination,time_limit_truncation,fall,lateral_drift_final_abs,lateral_drift_mean_abs,lateral_drift_max_abs,cumulative_lateral_path,cumulative_planar_path,forward_path_efficiency,torso_tilt_mean,torso_tilt_std,torso_tilt_rms,torso_tilt_p95,torso_tilt_max,inversion_tilt_threshold_rad,inverted_step_fraction,longest_inverted_run_steps,longest_inverted_run_seconds,sustained_inversion_seconds,sustained_inversion,full_horizon_completed,intent_compliant,intent_failure_reasons,action_observation_augmented,action_constraint_enabled,action_slew_l2_limit,action_slew_intervention_count,action_slew_intervention_rate,cumulative_action_correction_l2,mean_action_correction_l2,max_action_correction_l2,cumulative_proposed_squared_action_change,proposed_action_change_transition_count,proposed_normalised_action_roughness,episode_length,terminated,truncated
1,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,70.76334561029073,-17.235935931983903,0.2,-1.7669770786579149,8.834885393289571,0.05,1.014092584749083,-6.387807173467796,127.75614346935593,0.05,1.9893176307304792,-10.155845861661511,203.11691723323017,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2168,"[440, 512, 597, 619]",0.025,1.0,-12.43300663734083,497.320265493634,"[101.9219508625191, 145.06390144448886, 150.0978775082347, 100.23653567839077]",0.025,1.0,-4.114436309139884,164.57745236559524,"[38.06992585683946, 46.45346023462022, 40.1240566427692, 39.93000963136652]",0.0,0.0,57,19.916769575605077,0.3494170100983347,10.3,32.7,0.0,62402,72401,926.627740596318,982.3127721214227,926.627740596318,982.3127721214212,-55.68503152510478,0.0,-2.9332981007160006,0.0,-0.6577244321368958,6.577244321368956,87.99928154227459,-103.46337513652482,-2.2231342843269624,1000.0,-1.4779288903810084e-12,0.0,4.4000132473634235,0.0044000132473634235,0.05,50.0,0.08800026494726847,1000,50.0,0.08800026494726847,0.12990117258886139,7.442788943142255,206.92675027304963,0.20692675027304963,0.0,282.7163325852663,0.28299933191718346,0.008843729122411983,999,1e-08,True,47.02866528800664,206.92675027304963,47.02866528800664,False,none,False,False,False,False,True,False,0.5748036625138617,0.5450279190033314,1.0434366064444731,13.587925807367215,22.970808371667033,0.1915480368026816,0.14143335035942287,0.08011139344496047,0.16254607947774227,0.2775235966413866,0.3898498618202195,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,282.7163325852663,999,0.008843729122411983,1000,False,True
2,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,63.39550621860184,16.4850590269314,0.2,-1.8562253906110944,9.28112695305548,0.05,1.014092584749083,-5.58722382783216,111.74447655664291,0.05,1.9893176307304792,-8.701106018568037,174.02212037136104,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2294,"[495, 504, 621, 674]",0.025,1.0,-13.137104051517067,525.4841620606835,"[107.77250876858568, 149.71153602025325, 150.43112661222824, 117.56899065961548]",0.025,1.0,-3.72751430554825,149.10057222193,"[26.655381413646765, 35.67443747506192, 44.755339041533766, 42.01541429168743]",0.0,0.0,49,18.672108330149115,0.3810634353091656,10.700000000000001,33.7,0.0,62402,72402,922.0655479876831,941.815131801658,922.0655479876831,941.8151318016584,-19.74958381397566,0.0,-2.5686770213195076,0.0,-0.6567922255109335,6.567922255109331,46.91044719167054,-102.83194988425066,-2.2633655057618793,1000.0,3.410605131648481e-13,0.0,2.3454906511300573,0.0023454906511300574,0.05,50.0,0.046909813022601145,1000,50.0,0.046909813022601145,0.5547250921631254,31.783406570952703,205.66389976850132,0.20566389976850133,0.0,296.99606249777537,0.297293355853629,0.009290417370425906,999,1e-08,True,87.68480900548995,205.66389976850132,87.68480900548995,False,none,False,False,False,False,True,False,1.453325572372078,0.8191603458262914,1.7121587403071479,12.571224089910878,21.90550617541537,0.10707310903239525,0.14092274842060068,0.0807365250421028,0.16241184531397332,0.2659202194608136,0.363430460544561,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,296.99606249777537,999,0.009290417370425906,1000,False,True
3,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,70.35999878353347,-12.795435362499994,0.2,-1.834250370220412,9.17125185110207,0.05,1.014092584749083,-5.8287080185842886,116.57416037168548,0.05,1.9893176307304792,-8.804756200196941,176.09512400393876,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2265,"[535, 520, 607, 603]",0.025,1.0,-12.953664590742571,518.1465836297033,"[111.25881622122523, 160.96396206493517, 130.18571371481087, 115.73809162873216]",0.025,1.0,-4.057253144934521,162.29012579738045,"[42.14101179466994, 36.39812700777786, 42.57392979600541, 41.17705719892741]",0.0,0.0,58,16.574411320248032,0.28576571241806953,8.55,35.35,0.0,62402,72403,926.5205922548237,976.0264600663214,926.5205922548237,976.0264600663222,-49.50586781149742,0.0,-2.6293270062728435,0.0,-0.6024731180459121,6.024731180459116,83.15543414603337,-104.91126631651254,-2.217707763199406,1000.0,7.958078640513122e-13,0.0,4.157868790177624,0.004157868790177624,0.05,50.0,0.08315737580355248,1000,50.0,0.08315737580355248,0.12129582506884164,6.949738849001754,209.82253263302508,0.20982253263302508,0.0,293.48005923526625,0.2937738330683346,0.009180432283385456,999,1e-08,True,50.463962001086,209.82253263302508,50.463962001086,False,none,False,False,False,False,True,False,0.5068201271094632,0.3730852733723936,0.8562459290409211,13.02571751034284,22.66957416061775,0.18341186123384692,0.13228699675231995,0.08188434243310358,0.15557922433747404,0.26897884091449253,0.4858655876464926,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,293.48005923526625,999,0.009180432283385456,1000,False,True
4,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,73.63077188895726,-28.854151921098687,0.2,-1.6782509916488482,8.39125495824425,0.05,1.014092584749083,-6.416179396245908,128.323587924918,0.05,1.9893176307304792,-9.293603347621977,185.87206695243913,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2161,"[439, 539, 581, 602]",0.025,1.0,-13.28982498806699,531.5929995226792,"[113.02472850631753, 149.30440514681223, 158.1860756544324, 111.07779021511715]",0.025,1.0,-4.459005647491778,178.36022589967095,"[34.53579654706418, 46.18752107018706, 51.600817740402384, 46.03609054201728]",0.0,0.0,65,18.002056437741917,0.2769547144267987,9.05,33.15,0.0,62402,72404,932.8299634144004,1000.6720958362629,932.8299634144004,1000.6720958362622,-67.84213242186247,0.0,-3.2202599169066155,0.0,-0.6308562127816303,6.308562127816296,102.48492381005578,-99.58975022970948,-2.223077744083523,1000.0,-6.821210263296962e-13,0.0,5.124115822690737,0.005124115822690737,0.05,50.0,0.10248231645381473,1000,50.0,0.10248231645381473,0.014958879005266473,0.857080633248624,199.17950045941896,0.19917950045941896,0.0,268.520158663816,0.2687889476114274,0.008399654612857107,999,1e-08,True,38.870998890658825,199.17950045941896,38.870998890658825,False,none,False,False,False,False,True,False,0.07665674646307635,0.7856208080361914,1.5444011306562762,14.698121405499718,24.15277446070393,0.21215433576906736,0.13718555323026707,0.08077519792846499,0.15919958735963213,0.2842241133606047,0.3923595692228613,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,268.520158663816,999,0.008399654612857107,1000,False,True
5,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,75.41991688793722,9.926214597707132,0.2,-1.9666743143533332,9.833371571766675,0.05,1.014092584749083,-5.8794736925736695,117.58947385147327,0.05,1.9893176307304792,-9.723295842739779,194.46591685479547,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2218,"[452, 561, 596, 609]",0.025,1.0,-13.969097392087535,558.7638956835015,"[98.84638517842204, 185.6339717266214, 154.85020467397072, 119.43333410448652]",0.025,1.0,-4.1537943186134205,166.1517727445366,"[36.15550232608067, 33.26781904164421, 50.11380621778367, 46.61464515902815]",0.0,0.0,59,15.155271311076268,0.25686900527247913,6.050000000000001,35.4,0.0,62402,72405,922.8064116543283,952.5286213192029,922.8064116543283,952.5286213192026,-29.7222096648747,0.0,-3.2755293084279624,0.0,-0.6805593937861805,6.805593937861806,65.49370229023006,-110.7868951321976,-2.1781858388295268,1000.0,-3.410605131648481e-13,0.0,3.274668031791766,0.003274668031791766,0.05,50.0,0.06549336063583532,1000,50.0,0.06549336063583532,0.9335592941063797,53.489007477507904,221.5737902643952,0.2215737902643952,0.0,314.6678902965336,0.3149828731697033,0.009843214786553228,999,1e-08,True,67.6629777776769,221.5737902643952,67.6629777776769,False,none,False,False,False,False,True,False,4.423684626604609,2.1293623286870598,4.572209545552785,14.668165716581617,24.576868168939626,0.133241876437711,0.14256137833313592,0.08391239652682159,0.1654238099038892,0.2806303420391202,0.4998258303607118,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,314.6678902965336,999,0.009843214786553228,1000,False,True
6,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,58.05386771366454,12.268903776386162,0.2,-1.7926934050281271,8.963467025140647,0.05,1.014092584749083,-5.54321355448641,110.86427108972833,0.05,1.9893176307304792,-9.760130628545886,195.2026125709177,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2208,"[500, 535, 549, 624]",0.025,1.0,-13.265153783320544,530.6061513328214,"[124.48083538179276, 142.27129366248317, 129.9563607303682, 133.89766155817787]",0.025,1.0,-4.158842017639162,166.35368070556618,"[36.619472039462515, 42.62931793606247, 41.91071538171523, 45.194175348326226]",0.0,0.0,62,22.58540050817063,0.3642806533575908,10.600000000000001,32.5,0.0,62402,72406,913.7339751041021,939.741888611953,913.7339751041021,939.7418886119525,-26.00791350785038,0.0,-3.1617603270881975,0.0,-0.5950235681282199,5.950235681282195,45.78496393727848,-103.796599828844,-2.2464754964814633,1000.0,-4.547473508864641e-13,0.0,2.289149918036443,0.002289149918036443,0.05,50.0,0.04578299836072886,1000,50.0,0.04578299836072886,0.06673526691340947,3.823649138817407,207.593199657688,0.207593199657688,0.0,286.8309448045007,0.2871180628673681,0.008972439464605252,999,1e-08,True,90.68571613507714,207.593199657688,90.68571613507714,False,none,False,False,False,False,True,False,0.15299422306069413,0.9301527183404834,1.614529121102497,14.3099909257285,22.41533505552848,0.10212427841768312,0.13329865851071873,0.07828989931107803,0.15458926448785484,0.2787301181418253,0.35430265314945514,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,286.8309448045007,999,0.008972439464605252,1000,False,True
7,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,61.80236196232138,25.74179357109069,0.2,-1.7864604919173808,8.932302459586904,0.05,1.014092584749083,-5.031971393493282,100.63942786986547,0.05,1.9893176307304792,-8.46140397972306,169.22807959446138,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2266,"[474, 530, 575, 687]",0.025,1.0,-12.195129135909438,487.8051654363778,"[109.05644826763742, 134.48963033650134, 138.73943108626813, 105.51965574597112]",0.025,1.0,-3.826761979694354,153.0704791877744,"[32.1300025507846, 40.16997896159301, 43.25584240271981, 37.51465527267684]",0.0,0.0,55,17.528308406626607,0.3186965164841201,8.450000000000001,34.45,0.0,62402,72407,921.8535473912422,930.844956600943,921.8535473912422,930.8449566009435,-8.991409209700885,0.0,-2.866433156275116,0.0,-0.5650426437789491,5.650426437789493,36.06056839123069,-103.0091801420052,-2.20643164828252,1000.0,5.684341886080801e-13,0.0,1.8030287144502,0.0018030287144501999,0.05,50.0,0.036060574289004,1000,50.0,0.036060574289004,0.24101564872318065,13.80917946844586,206.0183602840104,0.2060183602840104,0.0,285.8336787067809,0.2861197985052862,0.008941243703290193,999,1e-08,True,114.26238452715484,206.0183602840104,114.26238452715484,False,none,False,False,False,False,True,False,0.4431726352563715,0.9626726080629078,1.5590501066812932,13.549561391570965,22.512789501904265,0.08008908510860856,0.12845014304906083,0.07867990714051737,0.15063189249612655,0.25666070951040937,0.4074426119801845,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,285.8336787067809,999,0.008941243703290193,1000,False,True
8,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,66.65054761327126,-13.869937096136649,0.2,-1.8791635393711983,9.395817696855994,0.05,1.014092584749083,-5.832544492664339,116.65088985328688,0.05,1.9893176307304792,-9.269020786835181,185.38041573670375,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2231,"[489, 522, 588, 632]",0.025,1.0,-12.811217799217127,512.448711968685,"[126.25251769548882, 132.68254388067515, 142.47983914233, 111.03381125019116]",0.025,1.0,-3.8324444217908535,153.2977768716343,"[36.29306342568542, 42.43405494472155, 34.76093963698026, 39.8097188642471]",0.0,0.0,58,20.338957787642975,0.3506716859938444,9.3,32.4,0.0,62402,72408,923.5683359122829,974.5795222755805,923.5683359122829,974.5795222755804,-51.011186363298826,0.0,-2.9321784157852986,0.0,-0.5846798114981523,5.846798114981527,80.5204847094079,-103.58983604993904,-2.3511263838882503,1000.0,-1.1368683772161603e-13,0.0,4.026024151086261,0.004026024151086261,0.05,50.0,0.08052048302172522,1000,50.0,0.08052048302172522,0.33016001151310914,18.916775223691822,207.17967209987808,0.2071796720998781,0.0,300.6661662993918,0.30096713343282466,0.00940522291977577,999,1e-08,True,51.460116562882256,207.17967209987808,51.460116562882256,False,none,False,False,False,False,True,False,1.3797332195570668,0.655206198910394,1.567096163709244,13.765447723618067,22.292642518745797,0.1805987848995826,0.13252398304468804,0.07691456713945888,0.15322681462550572,0.27016968506018046,0.3700564374413274,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,300.6661662993918,999,0.00940522291977577,1000,False,True
9,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,73.34335153947134,-2.867395502917669,0.2,-1.742753353355355,8.713766766776772,0.05,1.014092584749083,-5.772249673007227,115.44499346014453,0.05,1.9893176307304792,-9.065751596620116,181.31503193240243,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2212,"[468, 536, 586, 622]",0.025,1.0,-11.425175708567284,457.00702834269157,"[108.07434902006257, 127.5992026169644, 116.83576184170663, 104.49771486395811]",0.025,1.0,-3.9452030348127103,157.8081213925084,"[37.39171280339939, 38.84574680471699, 39.268039015255816, 42.302622769136164]",0.0,0.0,55,17.76774093272065,0.32304983514037544,8.3,35.6,0.0,62402,72409,937.0215761670243,975.1173404210663,937.0215761670243,975.1173404210671,-38.09576425404215,0.0,-2.5960939690674185,0.0,-0.6811414156944767,6.8114141569447755,76.21074704238902,-98.85480669191227,-2.2385999294103214,1000.0,7.958078640513122e-13,0.0,3.8105378712533304,0.0038105378712533305,0.05,50.0,0.07621075742506661,1000,50.0,0.07621075742506661,0.4310068213403469,24.69487180415098,197.70961338382455,0.19770961338382453,0.0,278.8405365368567,0.27911965619304974,0.008722489256032804,999,1e-08,True,51.88496219269842,197.70961338382455,51.88496219269842,False,none,False,False,False,False,True,False,1.7522384060528768,1.3863600335184048,2.2425931728364916,12.888016024886099,23.010227727113318,0.16560191913108765,0.14336875588397596,0.08258351114312594,0.16545282250975926,0.2735643382999625,0.5468454495971486,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,278.8405365368567,999,0.008722489256032804,1000,False,True
10,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,60.54582541214132,51.50942475625081,0.2,-1.7998943072910452,8.999471536455221,0.05,1.014092584749083,-5.889364705657046,117.78729411314087,0.05,1.9893176307304792,-8.317275813994327,166.34551627988645,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2243,"[498, 532, 567, 646]",0.025,1.0,-12.517636118036581,500.7054447214628,"[101.35176448058108, 139.14607957694363, 138.25209516923212, 121.95550549470654]",0.025,1.0,-3.885751190666687,155.43004762666718,"[37.23457398306804, 37.26945787245364, 40.677822587607565, 40.24819318353802]",0.0,0.0,58,18.152638905866123,0.31297653285976074,8.85,33.7,0.0,62402,72410,917.1403459861989,901.3380671066584,917.1403459861989,901.3380671066584,15.802278879541207,0.0,-2.7415517447303936,0.0,-0.5556719963335434,5.556719963335444,9.036400655890448,-105.45044353382724,-2.2478900154049386,1000.0,0.0,0.0,0.45176248236195593,0.0004517624823619559,0.05,50.0,0.009035249647239119,1000,50.0,0.009035249647239119,0.6579117867247082,37.69556867123692,210.90088706765448,0.21090088706765447,0.0,287.9830891665671,0.2882713605270942,0.009008480016471693,999,1e-08,True,466.84019878100213,210.90088706765448,466.84019878100213,False,none,False,False,False,False,True,False,0.3491059170050653,0.5180276315592557,1.1875800990629932,13.226368574196728,23.12459926931695,0.019536013450463567,0.12637412206859094,0.07963474041867204,0.14937238904883457,0.26322834896094144,0.3495210476068586,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,287.98308916656714,999,0.009008480016471695,1000,False,True
