#{"t_start": 1787236830.6350453, "env_id": "Ant-v5"}
r,l,t
-29.595401,31,25.872753
-39.712782,41,25.902754
-36.432173,32,25.925762
-11.917527,15,25.937233
-58.504154,60,25.982778
-80.229291,83,26.0473
-745.345395,727,26.596225
-28.466993,24,26.614954
-58.545727,56,26.656479
-13.212348,15,26.667479
-18.566362,22,26.68548
-40.978546,41,26.71448
-69.196484,86,26.780003
-31.984149,36,26.808004
-97.001848,109,26.88581
-133.411152,140,26.986336
-998.949516,1000,28.211914
-41.639228,49,28.247439
-13.045361,11,28.254439
-20.655453,20,28.269442
-154.967621,158,28.384127
-64.779384,60,28.429172
-67.681122,88,28.493953
-33.582995,38,28.52096
-24.874484,31,28.543478
-33.916992,35,28.568477
-11.338693,15,28.579478
-20.438918,24,28.597478
-22.325009,20,28.611478
-42.584133,43,28.644011
-31.459688,38,28.673012
-29.920065,36,28.702013
-15.403464,15,28.714014
-1004.217711,1000,29.95766
-374.169373,367,30.233531
-21.091514,23,30.25154
-46.764981,48,30.288942
-24.512291,21,30.305943
-81.616779,79,30.361987
-11.341257,17,30.374583
-52.989159,62,30.419601
-12.614459,11,30.427602
-27.896102,29,30.449119
-49.200035,47,30.483119
-115.047872,122,30.572839
-17.113782,17,30.58484
-14.527416,17,30.59784
-30.649649,26,30.617015
-14.625416,15,30.628032
-9.890362,16,30.639547
-28.274951,23,30.656547
-64.361506,73,30.709548
-18.174829,22,30.726528
-30.180306,28,30.747046
-17.691879,23,30.764046
-19.4489,22,30.780047
-33.670124,37,30.807047
-145.333495,160,30.925673
-17.937192,21,30.941188
-50.909387,61,30.984189
-35.920199,35,31.00919
-9.984049,11,31.01719
-53.546968,57,31.524625
-34.044609,41,31.55914
-943.461491,947,32.295368
-47.891665,47,32.329376
-19.590962,20,32.343892
-32.973425,33,32.36898
-22.315304,26,32.389984
-30.004642,36,32.41798
-15.508237,13,32.427988
-47.158775,55,32.46944
-17.508736,12,32.479439
-14.509661,15,32.49044
-16.273392,13,32.500441
-28.313593,28,32.520441
-1001.484445,1000,33.74809
-9.03617,7,33.75409
-14.416915,12,33.76409
-16.329232,17,33.77709
-89.08606,109,33.864624
-55.048856,55,33.906743
-26.838187,31,33.931746
-42.701852,48,33.969257
-954.149987,1000,34.706185
-39.728422,49,34.743706
-52.084636,53,34.781706
-28.540426,43,34.812706
-22.526722,29,34.834715
-69.726698,76,34.89436
-84.611958,95,34.963884
-26.830233,31,34.985884
-56.961239,63,35.031889
-27.287891,26,35.051402
-108.259529,130,35.628409
-50.100003,70,35.684916
-46.737515,52,35.725935
-20.536438,28,35.747655
-137.148555,170,35.883292
-24.893693,29,35.905293
-24.659396,23,35.922293
-35.588723,36,35.949816
-8.079091,11,35.957821
-78.997817,88,36.022817
-75.079799,80,36.082341
-103.55344,113,36.167872
-9.810484,13,36.177989
-7.316344,14,36.187988
-17.71878,21,36.203989
-71.942568,78,36.261171
-16.403482,18,36.275172
-123.998088,134,36.372822
-25.874464,21,36.389822
-36.373314,47,36.42583
-44.021166,50,36.462354
-13.096796,15,36.472354
-111.117636,124,36.563877
-20.505001,20,36.578879
-44.529901,48,36.614876
-21.716116,26,36.633883
-16.429609,15,36.645398
-18.584801,22,36.661398
-15.739505,16,36.674399
-55.915193,62,36.720402
-151.292315,183,36.852461
-43.538132,57,36.895752
-15.881287,15,36.906752
-75.721836,92,36.973278
-935.173435,1000,38.200122
-53.467374,68,38.250776
-42.799446,51,38.287777
-16.850732,16,38.298777
-52.914373,63,38.343299
-28.84102,26,38.361819
-40.071299,42,38.392427
-22.355189,29,38.413426
-16.212792,18,38.426432
-55.784204,59,38.468948
-33.971028,42,38.498949
-58.107842,66,38.549474
-11.602215,11,38.558475
-41.032617,48,38.595969
-919.368942,1000,39.836207
-47.643558,48,39.873235
-12.987021,15,39.884811
-58.348642,63,39.932825
-90.23861,96,40.003344
-919.442784,1000,40.740283
-60.996466,68,40.790799
-38.08232,34,40.8158
-34.460637,43,40.847322
-25.20448,35,40.873844
-58.062356,70,40.924419
-22.802404,22,40.941933
-52.312456,56,40.985965
-33.349396,42,41.019938
-29.628711,36,41.046466
-29.846743,39,41.075467
-60.198637,67,41.5874
-935.394967,1000,42.350583
-15.906963,15,42.361795
-68.162701,73,42.415803
-49.845049,63,42.463329
-22.474542,24,42.481328
-75.745656,79,42.543854
-36.500892,37,42.571855
-924.13007,1000,43.801384
-886.356073,1000,44.547361
-18.767833,28,44.568361
-64.78063,85,44.628363
-13.936273,21,44.643877
-161.341312,206,44.794409
-12.33393,18,44.807409
-17.204501,20,44.82241
-125.112112,138,44.922071
-21.846719,26,44.941079
-25.970238,35,44.966593
-10.114159,10,44.974593
-34.94537,42,45.005594
-53.600149,71,45.06012
-24.968262,28,45.08112
-68.28071,89,45.606489
-22.892968,25,45.62749
-889.770922,1000,46.393322
-38.220713,33,46.417323
-19.141238,19,46.43233
-15.351074,24,46.449846
-23.753355,31,46.473847
-926.092905,1000,47.68351
-16.512444,23,47.701507
-83.46779,109,47.789073
-42.195671,51,47.829581
-16.047193,23,47.84709
-63.736518,68,47.90017
-167.362809,224,48.065217
-69.63186,93,48.132218
-33.177135,34,48.156732
-5.842397,10,48.164732
-45.201275,53,48.202734
-37.178266,41,48.231741
-24.434327,27,48.252257
-45.364826,63,48.298258
-61.023798,73,48.35078
-45.850244,50,48.387861
-31.530999,36,48.413862
-20.505098,22,48.429862
-40.267273,54,48.468383
-35.583033,46,48.501384
-21.244312,25,48.519385
-14.919675,20,48.534391
-92.282206,108,48.613908
-25.929474,31,48.636919
-35.507117,43,48.667925
-12.69178,14,48.677921
-16.641895,17,48.690923
-93.873679,110,48.768446
-17.400994,26,48.787446
-24.82607,30,48.808447
-28.953187,33,48.832454
-28.660638,35,48.85797
-66.649816,71,48.910202
-23.747403,33,48.933209
-81.549613,112,49.016735
-13.398194,22,49.033738
-31.358082,38,49.062254
-70.035608,80,49.585022
-217.144219,259,49.786271
-42.477661,57,49.829271
-43.315814,58,49.873792
-15.385096,16,49.886877
-72.147527,79,49.95141
-55.611783,62,49.998676
-10.136994,11,50.006684
-45.999425,54,50.045684
-44.243405,51,50.0842
-21.47628,27,50.107201
-59.75192,76,50.162732
-20.688032,34,50.188731
-21.028195,27,50.209731
-72.541047,84,50.271487
-20.969205,35,50.298488
-41.686178,63,50.345496
-44.440249,65,50.392114
-24.563137,24,50.410118
-55.484077,81,50.470665
-54.630028,61,50.516649
-35.714045,38,50.546656
-126.505344,153,50.660694
-7.772616,8,50.667694
-53.268645,71,50.718695
-53.724923,69,50.76822
-53.825376,57,50.810221
-29.680332,39,50.839228
-50.889503,58,50.882265
-51.479829,67,50.933888
-45.773342,56,50.976409
-22.882541,32,51.000412
-630.007026,724,52.035178
-17.759514,23,52.053704
-37.533401,56,52.095701
-30.020216,41,52.125702
-18.780205,17,52.139712
-13.245517,18,52.153233
-907.701467,1000,52.893385
-25.620067,26,52.913385
-46.410913,63,52.958911
-39.227739,47,52.995914
-41.540425,57,53.037911
-28.66795,31,53.060431
-29.752983,30,53.082431
-32.744938,44,53.116432
-38.5008,44,53.611471
-13.567243,17,53.625481
-51.583741,74,53.684995
-35.635527,41,53.716992
-22.212089,32,53.741995
-28.321819,41,53.77458
-36.681246,58,53.818582
-15.367534,14,53.830582
-30.320555,34,53.856105
-20.806272,24,53.875115
-18.396576,19,53.891253
-23.288653,29,53.921256
-25.857946,35,53.951777
-898.820183,1000,54.689782
-85.037454,118,54.774307
-38.001966,56,54.815309
-12.948193,17,54.82831
-15.258512,19,54.842317
-20.798905,23,54.858831
-879.021118,1000,56.111744
-85.682735,110,56.193269
-13.764935,12,56.202271
-31.698124,40,56.231279
-10.755993,12,56.239793
-44.480959,47,56.274964
-10.679919,8,56.280964
-25.359692,30,56.302481
-14.0393,25,56.320482
-42.741933,53,56.359004
-13.670574,14,56.370104
-26.949594,39,56.398105
-47.923614,62,56.444118
-37.630296,48,56.478635
-28.569477,40,56.508636
-42.927248,45,56.541644
-15.855294,20,56.556159
-862.985789,1000,57.777722
-17.335799,31,57.803723
-51.744194,62,57.853231
-21.189896,39,57.884298
-75.258624,110,57.972816
-33.63704,46,58.006817
-31.819895,40,58.037824
-24.482342,28,58.059346
-22.369919,36,58.086346
-74.418249,81,58.146355
-91.791782,112,58.22987
-819.703339,1000,58.968446
-13.388761,15,58.980446
-822.980258,1000,60.215577
-18.610041,20,60.229577
-35.742227,45,60.262101
-13.764638,13,60.2711
-20.843167,25,60.289101
-826.177044,1000,61.030955
-46.603549,68,61.082479
