metric,effect,mean,std,min,max
action_saturation_rate,body_main,-0.012725579266794407,0.022910568410011115,-0.03851573773448763,0.005272924261411127
action_saturation_rate,gsde_main,0.9232122213585061,0.04472793483104369,0.8727689844877344,0.9580358210868078
action_saturation_rate,interaction,-0.025451158533588814,0.04582113682002223,-0.07703147546897526,0.010545848522822254
base_proxy_return,body_main,-9.674071542101103,49.1705828324426,-66.25884888440433,22.66411073767345
base_proxy_return,gsde_main,-1863.9303068462868,34.19868831042098,-1895.553294373031,-1827.6361307130232
base_proxy_return,interaction,18.33265102586957,98.2340710624996,-53.96498869000906,130.1763926827445
condition_objective_return,body_main,-4.449593707502103,73.84832801827491,-89.58541200518314,42.301003952679714
condition_objective_return,gsde_main,-1790.9960447742017,36.13831498772174,-1830.5609732482267,-1759.7270607733199
condition_objective_return,interaction,8.987692501139492,144.5968144809271,-77.76899998042903,175.91034654392473
fixed_horizon_mean_forward_velocity,body_main,-0.01553371743447901,0.021839880612126723,-0.03756628070185287,0.006108240744907253
fixed_horizon_mean_forward_velocity,gsde_main,-0.9436800500563498,0.019626855480025403,-0.9555893153015906,-0.9210268993251464
fixed_horizon_mean_forward_velocity,interaction,0.029141800465043482,0.04888981238089337,-0.02140919231745993,0.07618106493919895
forward_path_efficiency,body_main,-0.077875095637393,0.2171926839039628,-0.30293998564756214,0.13048014626352192
forward_path_efficiency,gsde_main,-0.6805678921799672,0.16478897009973906,-0.8305029763574439,-0.5041360333781477
forward_path_efficiency,interaction,-0.05104766118350729,0.26168888567060966,-0.34938976743162586,0.13965727705984549
intent_compliant,body_main,0.0,0.0,0.0,0.0
intent_compliant,gsde_main,0.0,0.0,0.0,0.0
intent_compliant,interaction,0.0,0.0,0.0,0.0
net_displacement_direction_error_degrees,body_main,-0.6104421340126693,15.38529304708203,-14.641115520604377,15.842182060662012
net_displacement_direction_error_degrees,gsde_main,50.55704837636691,11.124744552171553,37.71130131020108,56.985221450901896
net_displacement_direction_error_degrees,interaction,4.185255408561426,19.842991991567505,-14.870718100271397,24.731260877810755
normalised_action_roughness,body_main,-0.010924823412883538,0.025270786937425713,-0.03980792420934769,0.007113606010661284
normalised_action_roughness,gsde_main,0.28260905656273805,0.04377727449043563,0.2324673787769047,0.3132304696085867
normalised_action_roughness,interaction,-0.02039267300316841,0.04207489656421872,-0.06895785556509228,0.0050579092601897935
reward_roll_pitch_angular_velocity_shaping_sum,body_main,-6.747740021007002,2.649724281764209,-8.89360432901362,-3.7860282218125687
reward_roll_pitch_angular_velocity_shaping_sum,gsde_main,6.470047850775392,2.6384334491058894,3.504741248226097,8.558133749470237
reward_roll_pitch_angular_velocity_shaping_sum,interaction,12.940095701550783,5.276866898211779,7.009482496452194,17.116267498940474
reward_vertical_velocity_shaping_sum,body_main,-6.999291723388997,0.5714731975035378,-7.408848728545153,-6.346429623576477
reward_vertical_velocity_shaping_sum,gsde_main,6.693165678739729,0.5594856045152816,6.053997883399332,7.094128558399151
reward_vertical_velocity_shaping_sum,interaction,13.386331357479458,1.1189712090305632,12.107995766798664,14.188257116798303
sustained_inversion,body_main,0.0,0.0,0.0,0.0
sustained_inversion,gsde_main,0.0,0.0,0.0,0.0
sustained_inversion,interaction,0.0,0.0,0.0,0.0
torso_tilt_rms,body_main,0.01729731278123477,0.03584952976812771,-0.004022710809020294,0.058686483858371635
torso_tilt_rms,gsde_main,0.20555902426838304,0.10852752861393394,0.09164226994754308,0.3077441001896267
torso_tilt_rms,interaction,0.1094234335415362,0.14493247502998063,-0.05788287963297342,0.1965219489316788
unhealthy_termination,body_main,0.0,0.0,0.0,0.0
unhealthy_termination,gsde_main,1.0,0.0,1.0,1.0
unhealthy_termination,interaction,0.0,0.0,0.0,0.0
