condition_id,fixed_horizon_forward_velocity_m_per_s_mean,fixed_horizon_forward_velocity_m_per_s_std,fixed_horizon_forward_velocity_m_per_s_min,fixed_horizon_forward_velocity_m_per_s_max,forward_path_efficiency_mean,forward_path_efficiency_std,forward_path_efficiency_min,forward_path_efficiency_max,direction_error_degrees_mean,direction_error_degrees_std,direction_error_degrees_min,direction_error_degrees_max,torso_tilt_rms_rad_mean,torso_tilt_rms_rad_std,torso_tilt_rms_rad_min,torso_tilt_rms_rad_max,normalised_action_roughness_mean,normalised_action_roughness_std,normalised_action_roughness_min,normalised_action_roughness_max,rms_root_vertical_velocity_m_per_s_mean,rms_root_vertical_velocity_m_per_s_std,rms_root_vertical_velocity_m_per_s_min,rms_root_vertical_velocity_m_per_s_max,max_abs_root_vertical_velocity_m_per_s_mean,max_abs_root_vertical_velocity_m_per_s_std,max_abs_root_vertical_velocity_m_per_s_min,max_abs_root_vertical_velocity_m_per_s_max,rms_root_roll_pitch_angular_speed_rad_per_s_mean,rms_root_roll_pitch_angular_speed_rad_per_s_std,rms_root_roll_pitch_angular_speed_rad_per_s_min,rms_root_roll_pitch_angular_speed_rad_per_s_max,max_root_roll_pitch_angular_speed_rad_per_s_mean,max_root_roll_pitch_angular_speed_rad_per_s_std,max_root_roll_pitch_angular_speed_rad_per_s_min,max_root_roll_pitch_angular_speed_rad_per_s_max,no_floor_contact_step_fraction_mean,no_floor_contact_step_fraction_std,no_floor_contact_step_fraction_min,no_floor_contact_step_fraction_max,no_foot_contact_step_fraction_mean,no_foot_contact_step_fraction_std,no_foot_contact_step_fraction_min,no_foot_contact_step_fraction_max,prominent_takeoff_count_vz_ge_1p25_mean,prominent_takeoff_count_vz_ge_1p25_std,prominent_takeoff_count_vz_ge_1p25_min,prominent_takeoff_count_vz_ge_1p25_max,max_raw_floor_force_norm_mean,max_raw_floor_force_norm_std,max_raw_floor_force_norm_min,max_raw_floor_force_norm_max,p95_raw_floor_force_norm_mean,p95_raw_floor_force_norm_std,p95_raw_floor_force_norm_min,p95_raw_floor_force_norm_max,unhealthy_termination_mean,unhealthy_termination_std,unhealthy_termination_min,unhealthy_termination_max,intent_compliant_mean,intent_compliant_std,intent_compliant_min,intent_compliant_max
B0__G0,0.9610903800918885,0.02919081005848525,0.9413517105355853,0.9946217537716407,0.9311447503293123,0.043179799999038294,0.8818935848154574,0.9624961898793998,7.434765603949863,3.2942749337823054,3.8093817982968488,10.244799742735552,0.24545087706890822,0.02254380773577484,0.22356793330071062,0.2686020109571744,0.009215858187433213,0.0030515141772351874,0.006963828285571382,0.012688788084566374,0.7581825584492741,0.031574660953444356,0.7341186260241122,0.793934865753477,1.909674716061037,0.12171051571481914,1.813784744775349,2.0465988267315507,1.260942710247609,0.12346064058527381,1.1248710026938247,1.3658010785539874,3.9112387998182343,0.33263020635263296,3.690591227732343,4.293828707289547,0.5264000000000001,0.057494260583122535,0.47140000000000004,0.5861,0.5411333333333334,0.0546683028210436,0.4873,0.5965999999999999,21.1,17.342433508593885,1.7,35.1,311.5497715940927,22.86936448316136,287.84783479982264,333.48396745142134,60.619948276463184,3.530740853589436,57.14262699770069,64.20178783239177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0__G8,0.002839429803016875,0.0016566492106464576,0.0009419060004506729,0.0039980468237432645,0.276100688741099,0.15889716017127462,0.10369846011132684,0.41667469320458317,55.89918819648758,7.736582565245521,48.42897281029337,63.87712765053885,0.39629818456652316,0.034440435330446204,0.3647663967128694,0.43305105902449786,0.30202125125175544,0.020184851237134774,0.2796350946440172,0.31883333424645943,2.5440714556485085,0.46919616928942065,2.013584918789654,2.9046198704997903,4.902331556513013,1.2664067027471888,3.59424263436602,6.122470943884428,4.255296716507709,0.4360913228338005,3.770571492314221,4.615797953210732,8.104125459038345,0.05078360911476474,8.059917083571012,8.159594143001172,0.8023508898508899,0.02162911522720306,0.7773809523809524,0.8152777777777779,0.8023508898508899,0.02162911522720306,0.7773809523809524,0.8152777777777779,0.9,0.09999999999999998,0.8,1.0,152.91300768781312,46.099446858627694,118.08688719000043,205.19030461236335,103.35176788259933,29.05174717980024,85.10093570471211,136.8530810383173,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
B1__G0,0.9309857624248877,0.029044147885872278,0.9098818338023982,0.9641105128720765,0.8787934852836731,0.061076726724394716,0.8207993743613308,0.9425450925490566,4.731695765656481,2.250725599466279,3.0390432722668734,7.285933420053482,0.2080364730793749,0.053280468105994155,0.17101456058857578,0.26910141595630604,0.008487371276133861,0.0037931610881982024,0.00538585152210275,0.012716470648534022,0.6021700488687917,0.050689742762600444,0.5612835058596755,0.6588854580538253,1.6341826390520844,0.18130679897149327,1.5135754359542701,1.8426840215357323,1.1438762622020573,0.29838413379948037,0.8013681663123746,1.3475223537808545,3.863543695248526,0.3618728201374149,3.446161436267006,4.0894387594583685,0.4649666666666667,0.040930469498080956,0.422,0.5035000000000001,0.4791,0.037834243748223625,0.4384,0.5132,3.766666666666667,0.8736894948054106,2.8,4.5,262.53474646407267,41.752884474609075,236.50667582293158,310.694308042972,55.748214993362986,1.6457388300136675,53.92491133831601,57.12368697216713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1__G8,0.001876612601059595,0.003120173031311185,-0.0010180188289660658,0.005181698863947573,0.17270176251195235,0.29796021257294025,-0.060960176158791936,0.5082376977008317,57.38137345993247,22.05796300335294,33.31498553233225,76.63678736956508,0.468307214118526,0.12973400526439693,0.33180224608736236,0.5899985173487089,0.2809000913372877,0.06599674896642635,0.20534824265212337,0.32730790390481934,2.599071088917657,0.3689054567877251,2.2976209078362815,3.010443598958835,4.758070720966257,0.39038322182037427,4.308285915497892,5.00883359830363,4.169474476895402,1.073890208741622,2.948484526638441,4.967393667267677,7.907792548580993,2.2489995873187762,5.320698514198444,9.396806920352763,0.8345343974910538,0.029279147167137413,0.8052404295051353,0.8637987012987013,0.8392963022529586,0.0366518369619537,0.8052404295051353,0.8780844155844155,0.9,0.09999999999999998,0.8,1.0,131.2000678673621,63.791722439621566,65.57385306460965,192.98357049923118,84.06682659493102,43.89779193461947,40.96483962801444,128.71933899734694,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
