condition_id,condition_objective_return_mean,condition_objective_return_std,base_proxy_return_mean,base_proxy_return_std,fixed_horizon_mean_forward_velocity_mean,fixed_horizon_mean_forward_velocity_std,forward_path_efficiency_mean,forward_path_efficiency_std,net_displacement_direction_error_degrees_mean,net_displacement_direction_error_degrees_std,torso_tilt_rms_mean,torso_tilt_rms_std,normalised_action_roughness_mean,normalised_action_roughness_std,proposed_normalised_action_roughness_mean,proposed_normalised_action_roughness_std,action_saturation_rate_mean,action_saturation_rate_std,intent_compliant_mean,intent_compliant_std,unhealthy_termination_mean,unhealthy_termination_std,sustained_inversion_mean,sustained_inversion_std
Flinear__Ar0,395.2798911709244,172.64481817507678,417.68492528353073,180.17998123151406,0.07311184193334717,0.025174882582689875,0.29564148762956327,0.13476752715092655,35.63653927774908,12.111540796436365,0.7254834727883153,0.24279088975219235,0.02355408440532339,0.005925665116379735,0.02355408440532339,0.005925665116379735,0.005738894227992854,0.004784885478693187,0.0,0.0,0.6333333333333334,0.2886751345948129,0.19999999999999998,0.09999999999999999
Flinear__Ar0p2,314.33320761336705,186.98929037308147,325.6878737042989,194.8829277138254,0.05810236040077676,0.04695501781141895,0.28771946223885464,0.2818748010221057,45.64971935336041,15.723242900453583,0.3370409094791249,0.12300922421695072,0.028620720288195182,0.007020930966477855,0.028620720288195182,0.007020930966477855,0.006751698079953727,0.004833296174790493,0.0,0.0,0.9,0.09999999999999998,0.03333333333333333,0.05773502691896258
Ftrack__Ar0,1024.5955818863767,30.892645035321944,1011.231307097562,21.892255111317393,0.1731822519597641,0.0069937207403238996,0.30956326367950854,0.010408432993679393,20.041463138523188,14.523795002108459,0.27497263262457433,0.19765383180670942,0.01303215658008357,0.00022259810611470934,0.01303215658008357,0.00022259810611470934,4.1666666666666665e-05,1.9094065395649335e-05,0.0,0.0,0.0,0.0,0.06666666666666667,0.11547005383792516
Ftrack__Ar0p2,1005.0373026726598,34.04987048435448,960.5930934736401,44.692822022480385,0.13594896986300087,0.05863472160442152,0.2152553018498168,0.07386595302277657,28.671984505143936,18.832376773705306,0.23766658833644763,0.0893636129922775,0.012694443251594863,0.0027589405230171223,0.012694443251594863,0.0027589405230171223,0.00019583333333333334,0.00015827849927685484,0.0,0.0,0.0,0.0,0.03333333333333333,0.05773502691896258
