training_seed,metric,tracking_main_effect,action_rate_main_effect,interaction
41401,fixed_horizon_mean_forward_velocity,0.07361838788470268,-0.031081324044388597,0.01900908191922336
41401,forward_path_efficiency,-0.21533998530992648,0.04239052125624959,-0.18291500479217476
41401,net_displacement_direction_error_degrees,-11.441950548246357,3.9045639368629814,-17.086953173927867
41401,torso_tilt_rms,-0.31954018709369625,-0.13707788069555876,0.6407295107743967
41401,normalised_action_roughness,-0.015945042840405398,0.00708039287620784,-0.009402266924849282
41401,proposed_normalised_action_roughness,-0.015945042840405398,0.00708039287620784,-0.009402266924849282
41401,unhealthy_termination,-0.9,0.09999999999999998,-0.19999999999999996
41402,fixed_horizon_mean_forward_velocity,0.04805238402946185,-0.02663694652324232,-0.15600504357318765
41402,forward_path_efficiency,-0.010525002338844042,-0.012283042268763117,-0.3465647082360064
41402,net_displacement_direction_error_degrees,-11.862030541835285,21.123959559100886,45.49061606246904
41402,torso_tilt_rms,-0.5144974699292373,-0.22018501218849046,0.4908824998420529
41402,normalised_action_roughness,-0.008319489621828755,0.0013380007324994263,-0.00804624122615167
41402,proposed_normalised_action_roughness,-0.008319489621828755,0.0013380007324994263,-0.00804624122615167
41402,unhealthy_termination,-0.55,0.25,-0.5
41403,fixed_horizon_mean_forward_velocity,0.14520475731879706,-0.020645874876369597,0.07032455996138576
41403,forward_path_efficiency,0.13805141114013175,-0.183452459818087,0.2703219037112319
41403,net_displacement_direction_error_degrees,-25.55523539108191,2.9370286673842543,-32.55163901551295
41403,torso_tilt_rms,0.009209915063306262,-0.2813600185119265,-0.07820245355325833
41403,normalised_action_roughness,-0.015407774830526057,-0.001325009777132631,0.001235460516919449
41403,proposed_normalised_action_roughness,-0.015407774830526057,-0.001325009777132631,0.001235460516919449
41403,unhealthy_termination,-0.8500000000000001,0.04999999999999999,-0.09999999999999998
